,model,score
ENSG00000019991,2,0.7236152758223836
ENSG00000079950,3,0.8686078640463785
ENSG00000011052,1,0.5333448437496274
ENSG00000030066,3,0.868825937487086
ENSG00000027697,1,0.5198749305032141
ENSG00000032444,1,0.49711613913186214
ENSG00000070882,2,0.6699928144282041
ENSG00000087157,1,0.5556829226283388
ENSG00000011132,1,0.5359864498599087
ENSG00000084652,1,0.5105137618123876
ENSG00000007866,3,0.9157310248041678
ENSG00000099377,2,0.6812731098846507
ENSG00000077549,2,0.6521953975421482
ENSG00000066468,1,0.5108130982791337
ENSG00000092096,2,0.75647698972621
ENSG00000092607,2,0.7429519917937729
ENSG00000085491,3,0.949116644758862
ENSG00000082438,1,0.48028923257811007
ENSG00000085552,2,0.6908309622674809
ENSG00000075239,3,0.8777895682560009
ENSG00000086598,1,0.4939300443707868
ENSG00000088325,1,0.6115115951102226
ENSG00000008323,2,0.6676328173848087
ENSG00000077522,2,0.6797771157085484
ENSG00000066777,3,0.8747960402269936
ENSG00000090097,1,0.5955757351749282
ENSG00000064195,2,0.6938564433666864
ENSG00000073060,2,0.6797047630903912
ENSG00000065243,3,0.8470317883784443
ENSG00000023516,1,0.4339767553433317
ENSG00000093144,3,0.8086863419074155
ENSG00000033011,2,0.6627510348393173
ENSG00000094841,3,0.8071791007252729
ENSG00000058600,1,0.47649555832828494
ENSG00000080845,1,0.49260769569144025
ENSG00000071889,1,0.5301236569555081
ENSG00000075426,1,0.49465072885219363
ENSG00000051523,2,0.7576182617512028
ENSG00000042832,1,0.435567181856389
ENSG00000038274,1,0.5294007338597195
ENSG00000065357,1,0.5476889263886897
ENSG00000086544,1,0.47822519713457745
ENSG00000012211,2,0.7858004709524904
ENSG00000079101,2,0.6946883275651308
ENSG00000053372,3,0.8351830176756422
ENSG00000062524,1,0.4848372871397416
ENSG00000034533,1,0.46813891674441455
ENSG00000068971,1,0.4901070730348486
ENSG00000005961,3,0.8150929563435423
ENSG00000017483,1,0.5949335860643633
ENSG00000087250,1,0.48259521981735765
ENSG00000070961,1,0.5218948456293926
ENSG00000058056,2,0.7145154215906295
ENSG00000065882,1,0.5601979514712924
ENSG00000054267,3,0.8787034900074484
ENSG00000075945,2,0.6938248548739716
ENSG00000047936,1,0.5001895301720276
ENSG00000066557,2,0.6649742121127504
ENSG00000009780,1,0.4467997845620232
ENSG00000008056,2,0.7212357748861624
ENSG00000085719,3,0.8253488763200083
ENSG00000018869,3,0.8226151696930964
ENSG00000070495,2,0.7823981512139226
ENSG00000073578,1,0.5217413420109398
ENSG00000010818,3,0.8394747871877986
ENSG00000066382,1,0.4761657699345002
ENSG00000072958,1,0.5276204712478796
ENSG00000042062,1,0.4474995225323194
ENSG00000072682,1,0.5018143358231488
ENSG00000075303,1,0.47470411447101035
ENSG00000025293,1,0.5355535595950895
ENSG00000081760,1,0.5021126883512665
ENSG00000077232,1,0.4827654461006141
ENSG00000077935,1,0.42819615762009766
ENSG00000017797,1,0.6339206640070045
ENSG00000091164,2,0.7366576421682661
ENSG00000091136,1,0.5598661448033309
ENSG00000089091,1,0.4536754983178398
ENSG00000006652,3,0.8566906222624895
ENSG00000049540,1,0.6189011804426091
ENSG00000023228,2,0.6947122772738705
ENSG00000004799,3,0.8635928872725125
ENSG00000093217,1,0.5730103350289313
ENSG00000066926,1,0.5046422054123991
ENSG00000054983,1,0.4875593144972793
ENSG00000010165,2,0.6553240591771928
ENSG00000067208,1,0.44619377791770143
ENSG00000081913,2,0.7436751178291451
ENSG00000039650,1,0.4631444829442398
ENSG00000083290,1,0.4330616688886677
ENSG00000007168,1,0.48005983845699407
ENSG00000073067,1,0.4508033154268245
ENSG00000064218,3,0.9001702017896286
ENSG00000054523,2,0.7347361455899106
ENSG00000088305,1,0.5696636060181547
ENSG00000034510,1,0.4412408675136793
ENSG00000007314,1,0.5263880693994283
ENSG00000011454,3,0.8437080535880865
ENSG00000088298,1,0.5901909764175464
ENSG00000076770,2,0.7078966818523418
ENSG00000011566,3,0.8446859476590344
ENSG00000059378,1,0.43924287897858905
ENSG00000046653,3,0.8652067697685262
ENSG00000083454,2,0.6621338680273434
ENSG00000037897,2,0.6922324717565316
ENSG00000048649,3,0.8546283778611716
ENSG00000081154,3,0.8742227261315036
ENSG00000095002,3,0.8647776341494977
ENSG00000017260,3,0.8070888358166272
ENSG00000035403,1,0.42806993107392455
ENSG00000055211,3,0.8361422223616515
ENSG00000091483,3,0.8963765560030499
ENSG00000065970,2,0.6610316372563086
ENSG00000050405,1,0.6020963916079731
ENSG00000078747,1,0.4671421446263241
ENSG00000092051,2,0.6976355645972657
ENSG00000006715,3,0.8415823164436907
ENSG00000092931,2,0.6770780630186102
