,model,score
ENSG00000085465,sigmoid,0.8796088079621455
ENSG00000081059,sigmoid,0.7776217214801908
ENSG00000053770,sigmoid,0.8250996843219015
ENSG00000070031,sigmoid,0.7979653880369312
ENSG00000078369,sigmoid,0.7791404207330991
ENSG00000043039,sigmoid,0.8084381855635555
ENSG00000007376,sigmoid,0.7821764358582863
ENSG00000089101,sigmoid,0.8271838605470225
ENSG00000004776,sigmoid,0.8801255724269551
ENSG00000091947,sigmoid,0.8238314720011941
ENSG00000091640,sigmoid,0.8032982175805766
ENSG00000089250,sigmoid,0.8349946089860124
ENSG00000030304,sigmoid,0.7615668703052584
ENSG00000062598,sigmoid,0.8376739676166622
ENSG00000000460,sigmoid,0.778801718491666
ENSG00000002933,sigmoid,0.8976643613262459
ENSG00000088367,sigmoid,0.8109331422210277
ENSG00000047578,sigmoid,0.7650449831901603
ENSG00000079263,sigmoid,0.9603939152868118
ENSG00000074855,sigmoid,0.8139294400420152
ENSG00000049449,sigmoid,0.7739452895201926
ENSG00000033030,sigmoid,0.9101790435563439
ENSG00000063587,sigmoid,0.8314559818219595
ENSG00000081665,sigmoid,0.8464364922425104
ENSG00000072210,sigmoid,0.8972271571435834
ENSG00000006712,sigmoid,0.7832780587513986
ENSG00000067191,sigmoid,0.7569329945262459
ENSG00000065559,sigmoid,0.7976043154341835
ENSG00000070756,sigmoid,0.8008888458505301
ENSG00000075790,sigmoid,0.9028880733954262
ENSG00000091428,sigmoid,0.9134171144028537
ENSG00000029559,sigmoid,0.8611544448295001
ENSG00000006740,sigmoid,0.7627539151569943
ENSG00000049246,sigmoid,0.7755834231066375
ENSG00000070190,sigmoid,0.8271892275196524
ENSG00000092978,sigmoid,0.7847226432131715
ENSG00000083307,sigmoid,0.8225281516403365
ENSG00000008394,sigmoid,0.8239890064532528
ENSG00000068354,sigmoid,0.9277428830805536
ENSG00000066084,sigmoid,0.7761483313643779
ENSG00000004864,sigmoid,0.7703582426134069
ENSG00000078399,sigmoid,0.7724019984183566
ENSG00000095209,sigmoid,0.8355528196426606
ENSG00000091127,sigmoid,0.8522422089131033
ENSG00000000419,sigmoid,0.8163833487781559
ENSG00000051180,sigmoid,0.8334555260510376
ENSG00000080293,sigmoid,0.9458155561042135
ENSG00000091844,sigmoid,0.8490716260675031
ENSG00000075413,sigmoid,0.8111136522100932
ENSG00000084693,sigmoid,0.7830791489780929
ENSG00000062725,sigmoid,0.8395149651063873
ENSG00000009830,sigmoid,0.7797204325318822
ENSG00000094755,sigmoid,0.8772479697847514
ENSG00000086712,sigmoid,0.7918943900406916
ENSG00000033050,sigmoid,0.8030184281311179
ENSG00000071051,sigmoid,0.9188213554325348
ENSG00000014641,sigmoid,0.7789827040458162
ENSG00000089486,sigmoid,0.8964531357848227
ENSG00000006210,sigmoid,0.8258565924735458
ENSG00000086232,sigmoid,0.7762067804262536
ENSG00000090238,sigmoid,0.8978453816167514
ENSG00000054793,sigmoid,0.7825332391210802
ENSG00000049323,sigmoid,0.8976917676035596
ENSG00000069482,sigmoid,0.9014894905831755
ENSG00000061656,sigmoid,0.8002258160868685
ENSG00000064393,sigmoid,0.8612974262683037
ENSG00000096996,sigmoid,0.8639025625953778
ENSG00000064199,sigmoid,0.8681289528988714
ENSG00000077713,sigmoid,0.7904443519580304
ENSG00000025772,sigmoid,0.798949322714701
ENSG00000086696,sigmoid,0.7763021478372774
ENSG00000077063,sigmoid,0.8342234904423842
ENSG00000072736,sigmoid,0.8508834009003167
ENSG00000092964,sigmoid,0.8766147719825715
ENSG00000078114,sigmoid,0.7590707819872322
