,stat,p-value,nodes_n,q-value,pathway_name
R-HSA-2559582,2.5,0.3085375387259869,114.0,1.0,Senescence-Associated Secretory Phenotype (SASP)
R-HSA-2046106,20.0,0.8296193118114845,60.0,1.0,alpha-linolenic acid (ALA) metabolism
R-HSA-1483206,520.0,0.08697763976384099,343.0,0.9484704526628374,Glycerophospholipid biosynthesis
R-HSA-1630316,94.0,0.33772096556751063,218.0,1.0,Glycosaminoglycan metabolism
R-HSA-4086398,3.5,0.842611608470182,126.0,1.0,Ca2+ pathway
R-HSA-8963743,34.0,1.0,76.0,1.0,Digestion and absorption
R-HSA-2046104,28.0,0.804229812537119,78.0,1.0,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism
R-HSA-112316,27.0,0.9014411398887177,710.0,1.0,Neuronal System
R-HSA-156581,16.5,0.6656450425013762,80.0,1.0,Methylation
R-HSA-8856825,9.0,1.0,146.0,1.0,Cargo recognition for clathrin-mediated endocytosis
R-HSA-199220,7.5,1.0,34.0,1.0,Vitamin B5 (pantothenate) metabolism
R-HSA-2173782,30.0,1.0,171.0,1.0,Binding and Uptake of Ligands by Scavenger Receptors
R-HSA-5683057,9.5,0.7363581422601653,802.0,1.0,MAPK family signaling cascades
R-HSA-427359,0.5,0.9430768509966709,43.0,1.0,SIRT1 negatively regulates rRNA expression
R-HSA-5675482,3.0,1.0,84.0,1.0,Regulation of necroptotic cell death
R-HSA-3108232,3.5,0.5,369.0,1.0,SUMO E3 ligases SUMOylate target proteins
R-HSA-425393,3.0,1.0,11.0,1.0,Transport of inorganic cations/anions and amino acids/oligopeptides
R-HSA-392499,2144.0,0.00014543483721774105,2831.0,0.02388341852566156,Metabolism of proteins
R-HSA-917937,3.5,0.8668875475191282,92.0,1.0,Iron uptake and transport
R-HSA-9006931,70.0,0.757652500050183,710.0,1.0,Signaling by Nuclear Receptors
R-HSA-15869,2214.0,0.9829085523300278,419.0,1.0,Metabolism of nucleotides
R-HSA-4085001,42.0,0.41868958481674146,55.0,1.0,Sialic acid metabolism
R-HSA-9772573,13.0,0.775706324659859,116.0,1.0,Late SARS-CoV-2 Infection Events
R-HSA-2262752,125.0,0.8370283516528958,1504.0,1.0,Cellular responses to stress
R-HSA-453274,3.5,0.8061699131826604,329.0,1.0,Mitotic G2-G2/M phases
R-HSA-556833,9838.5,0.19867628706353457,2394.0,1.0,Metabolism of lipids
R-HSA-9694516,34.5,0.4597824653550698,221.0,1.0,SARS-CoV-2 Infection
R-HSA-73776,3.5,0.771971729874872,81.0,1.0,RNA Polymerase II Promoter Escape
R-HSA-446219,156.0,0.06066003788496666,146.0,0.8466229921827031,Synthesis of substrates in N-glycan biosythesis
R-HSA-3000480,17.0,1.0,60.0,1.0,Scavenging by Class A Receptors
R-HSA-5173214,0.5,1.0,6.0,1.0,O-glycosylation of TSR domain-containing proteins
R-HSA-163200,6.0,0.7922859407545746,196.0,1.0,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
R-HSA-9710421,4.0,1.0,39.0,1.0,Defective pyroptosis
R-HSA-68875,5.5,0.7765397246581431,210.0,1.0,Mitotic Prophase
R-HSA-8868773,8.0,1.0,198.0,1.0,rRNA processing in the nucleus and cytosol
R-HSA-112315,25.0,0.9078861530773987,588.0,1.0,Transmission across Chemical Synapses
R-HSA-168256,201.0,0.2568952458972548,4826.0,1.0,Immune System
R-HSA-388396,271.0,0.8201611154213393,1076.0,1.0,GPCR downstream signalling
R-HSA-416476,66.0,0.6070070632173067,343.0,1.0,G alpha (q) signalling events
R-HSA-9006925,12.0,0.8699493838729492,734.0,1.0,Intracellular signaling by second messengers
