,discarded,sigmoid,continuous
0,RBPJ_2,RPAP3_1,ARSB_2
1,RPL7L1_1,ZDHHC19_1,ADCY9_1
2,WNT2_2,FLOT1_1,RNF122_1
3,NFATC2_1,GPR35_3,TRAPPC12_1
4,UCN3_1,KDM3B_1,FGD6_1
5,NOVA1_4,NPW_2,GAD2_1
6,CGGBP1_2,DNAJC5B_4,ZMYM6_2
7,TDRD5_1,CRTC2_3,ST6GALNAC2_1
8,WNT2_1,SCN5A_1,CMIP_2
9,RPL13_1,PKP2_1,CYP11B2_1
10,GSX2_2,MKX_2,FBXO41_1
11,RCOR3_2,PTGS2_1,TSPAN18_1
12,AGBL2_1,ZBED4_1,ZNF331_1
13,LRRC38_2,UBA7_1,METAP1D_1
14,MSANTD4_2,KCNH2_1,ESAM_1
15,ATG9A_2,ARHGEF2_1,AKAP5_1
16,TLL1_1,LYPLA1_2,PRR29_1
17,TRIM58_1,MIPEP_1,SLC22A13_1
18,EDN2_1,AGGF1_1,KCNC4_2
19,FEM1B_2,IL17RD_2,MAPK8IP1_1
20,RTKN2_1,SLC22A2_1,USF1_1
21,ANKLE1_1,ZNF432_1,APBB1IP_2
22,TSHR_2,MRFAP1L1_1,TYW3_1
23,IQGAP2_2,STT3B_3,MCM2_1
24,GJA5_1,YME1L1_2,GET4_6
25,PP2D1_1,PPP4R1_1,C19orf52_1
26,ZNF177_3,ANKRD44_1,EMP2_1
27,PAX6_5,SMARCD3_1,TMEM18_1
28,ARMC4_1,SYCP2_2,ARTN_1
29,ACSF3_1,AHCY_1,SPCS2_1
30,DYNC1I1_1,DSE_2,CCR2_1
31,OLFM3_1,RBM25_1,CYP4B1_1
32,MEX3D_1,FLCN_1,REST_2
33,FADS1_2,NCOR1_1,SAR1A_1
34,REM1_1,PPP2R5C_2,CNTNAP1_3
35,IGFBP4_1,UPF3A_2,POLR3E_2
36,LNX2_1,DLL4_2,RIPOR2_2
37,GALE_1,RAPGEF2_1,EDEM3_1
38,PRPF31_2,RAB4B_1,YAF2_1
39,HIBCH_1,SDCBP2_2,DNAJB4_3
40,MYO18A_4,UFD1L_1,SH3BP4_3
41,FKBP8_1,QRSL1_1,STT3B_1
42,KLHDC3_1,CCDC88C_3,CCL15_1
43,KCNS3_2,CAPN12_2,BACE2_1
44,PLBD1_1,LCMT1_1,THOP1_1
45,DOCK10_2,ADPRHL1_4,VPS13A_1
46,RAP1GAP2_2,VPS4A_2,IFI44_1
47,PENK_1,SFTPA1_1,F2_1
48,SLIT1_4,BDH2_1,CPED1_1
49,RAD1_1,DOCK8_1,SASH1_6
50,CACNA2D2_2,NEFM_1,PTPRB_2
51,SLC15A4_1,GAL_1,TXNRD1_1
52,TXK_1,L2HGDH_1,SPRR2A_1
53,ATP6V1H_2,SPATA31E1_1,RAPGEF5_1
54,GOLGA8B_1,RPH3A_3,MYLK3_1
55,SLC8A3_1,TULP4_2,RIPPLY2_1
56,SEZ6L_1,INTS9_1,PRRX2_1
57,NDRG4_3,SEL1L2_2,DENND1A_1
58,LHX1_1,CAMTA2_1,VPS37B_1
59,APOPT1_1,RHEBL1_1,MB21D2_2
60,ACD_1,SLC6A3_1,APOBEC3C_5
61,NKX3-1_1,DYSF_2,PSMD3_1
62,DLL3_1,SNTG1_2,SMTNL2_1
63,GSX1_1,RNF13_2,FAP_1
64,HOXB4_4,SNCG_4,MRFAP1_1
65,DCAF5_4,LZIC_1,TMEM223_1
66,TMEM235_1,GTF2A1_1,CCDC137_2
67,PPP6R2_1,CACNG3_2,UFC1_1
68,ECHDC1_2,TJP1_1,PTS_1
69,GOLIM4_1,RSRC2_1,TTLL12_1
70,RBFOX2_2,DIS3L_2,CNN3_1
71,MARCO_1,GCSAM_1,TSPEAR_2
72,NSMCE1_1,CEP350_3,TMEM53_1
73,DCLK2_3,DIS3L_1,TSSK3_2
74,DENND6B_2,APOL2_1,KCNK10_3
75,GOLT1A_1,RCCD1_5,FAM60A_1
76,TRAF3IP1_1,CREB3L4_3,ZDHHC2_1
77,IFT122_1,CRIPT_1,GPALPP1_1
78,DDX23_1,CRHR2_1,MARCKS_1
79,CNIH2_1,KIF13B_1,AKT1S1_5
80,POC1B_3,NCKAP1L_3,DGKQ_2
81,GORASP2_1,CAPG_3,TFAP2A_2
82,MAP4_2,CDH9_1,LRRC1_2
83,PRKAR1A_2,DLEC1_2,DESI1_1
84,ARHGAP8_3,RSF1_2,BCL2L12_1
85,MFN1_1,RNF44_2,CD86_2
86,ROBO3_3,GAD2_4,DUS4L_1
87,NDC80_1,SSR2_1,ESRP2_1
88,DFFB_2,TELO2_2,RYBP_1
89,C11orf45_1,UBTD2_4,SRA1_1
90,STAU2_2,BBS9_3,KAT5_1
91,ADGRA2_1,P3H2_4,KLC4_1
92,ZMYM1_1,CHSY3_2,SMYD4_1
93,ATRAID_1,DDX39B_2,NIPBL_2
94,EFCAB12_1,SMARCD2_3,TMEFF2_3
95,COL4A3_1,CLHC1_1,CAMK2D_1
96,OCLN_2,SKAP1_1,CABIN1_1
97,CACNG8_1,SYT7_1,EFCAB6_1
98,CAPN1_4,PDGFRB_1,KIF1BP_1
99,SMYD5_1,RSPO1_1,SF3B4_1
100,MTPN_1,RPS25_2,LIN37_1
101,RBM42_1,C19orf18_2,ADAD2_1
102,NRM_1,GAS2L1_2,ZNF582_2
103,NKAIN2_2,LIPN_1,LRP1_1
104,TBC1D16_1,RAG1_2,HEPACAM_2
105,TGFBRAP1_1,PDE1A_3,LYPD2_1
106,ZNF567_2,PRR15L_1,ITIH2_1
107,SCRIB_1,GET4_5,SLC22A16_1
108,COL12A1_1,TBC1D5_2,MMP11_1
109,CNTFR_2,INTS13_1,SLC28A1_1
110,FSTL5_1,TMEM188_2,MKRN3_1
111,RHOU_2,CFAP44_1,R3HDM4_1
112,BTG1_1,XKR7_1,ZNF440_1
113,NOS1_2,EPB41_1,CYP26B1_1
114,PGBD1_1,PTK2_2,SOX5_4
115,LAMP5_2,CNTNAP4_4,SGIP1_1
116,ACAT1_1,PLAUR_1,RDH14_1
117,COPS7A_2,FAM131A_2,ZNF641_1
118,DNAI2_1,IGF2_5,HNF4A_1
119,HAND1_1,ZDHHC6_1,U2AF2_1
120,PLCB1_1,PHLPP2_1,HMGA2_2
121,HKR1_1,MANEA_1,GPD1_1
122,C12orf73_3,SEPP1_1,ACER2_1
123,ICT1_1,STK24_2,SDK1_1
124,MT1H_1,IL18BP_1,RGCC_1
125,NQO1_1,CDCA4_1,MS4A10_1
126,SLC9B2_1,LZTR1_1,PRPF4B_2
127,PUSL1_2,DOK2_1,OBFC1_2
128,SCFD1_1,PARP8_3,TYROBP_1
129,COL9A3_2,PRPF6_1,RABGGTB_2
130,ITPKC_3,CXCL1_1,KIF3B_1
131,PLEC_2,TELO2_1,MFSD7_3
132,SATB1_2,CSTF1_2,PMEPA1_1
133,DCLRE1A_3,IRS1_1,SUB1_1
134,HOXC6_4,GEM_1,ELK3_1
135,DLEC1_1,KRT9_1,MT4_1
136,TPRN_1,ZGLP1_3,MAPK6_1
137,CAMK1_1,FMNL1_2,FAM219B_1
138,ARL4C_1,DSC2_3,SRXN1_1
139,PIP5K1C_1,PARD3B_3,PSENEN_2
140,KDM6B_4,ACE_2,CDH7_4
141,NAA40_1,CNBP_1,TRIP10_1
142,PHLDB2_2,PMEL_2,EIF5A_4
143,PARD6A_1,STAC_2,TMEM259_1
144,CTSH_1,ZNF22_1,ELAVL4_1
145,CTNNA2_3,UNC93A_1,CNPPD1_3
146,RCE1_1,LLGL2_2,BST1_1
147,ZBTB38_5,SNRNP25_2,GPR162_2
148,MCTP1_2,SLC27A6_3,ESRRG_2
149,UBE2D2_1,CCDC150_2,SH3BGR_1
150,NRIP2_1,COQ10A_2,ITGB8_3
151,ZNF142_1,WT1_5,MYL7_2
152,EIF2B1_1,EIF4E3_2,RASSF8_2
153,PARM1_1,MRPL10_2,ZYX_4
154,DEAF1_3,FLYWCH1_2,CKAP2L_1
155,DHCR24_1,DEPDC5_4,DCUN1D5_1
156,MCMBP_1,TELO2_3,LMBRD1_2
157,CSNK1A1_1,PSMC4_1,ADGRG7_2
158,ZBTB8OS_2,SELL_1,EML1_1
159,FGFR1_1,RMND5A_1,STC1_1
160,TMEM101_1,PAIP2_1,SMOC1_1
161,SPATA2_1,SYT7_2,ROBO3_2
162,FARP1_2,UBTD2_2,KLF11_2
163,MAPK12_2,DNAH10_1,CKM_1
164,PRKD1_2,ERF_2,RARG_2
165,CAPG_1,DUSP28_1,PIWIL1_1
166,STAT5B_3,TK2_2,KIAA1370_4
167,PDCD2_1,TSPAN12_2,OTUB2_1
168,GPR137_4,IRAK3_1,SULT1C4_1
169,APP_1,TXNDC15_1,GML_1
170,ZMYND12_2,DSC2_2,STEAP1B_5
171,CAV1_3,CEP350_1,TINAG_1
172,MTG1_1,LUZP2_1,TRABD2A_1
173,ISL2_1,FAM134B_2,LYNX1_3
174,PDLIM3_1,TGFB2_1,CHD2_3
175,NAALAD2_1,SLC2A14_2,PTMS_1
176,C14orf132_1,GNRH1_1,ZNF638_2
177,NME2_2,PLEKHF2_1,ZNF329_1
178,DOCK4_1,OPRK1_1,BHLHE41_1
179,TMIGD2_1,TIAM2_1,TLR4_1
180,SNCAIP_1,IRGQ_1,BCL2L12_2
181,RACGAP1_1,ZNF585B_1,CUL5_1
182,TDP2_1,ANKRD12_4,HSPA1L_4
183,ISLR2_2,ZG16B_1,TSPAN8_3
184,TPBG_1,EPB41L5_1,SEMA4B_2
185,TANGO2_2,CHRNA9_1,PATL1_1
186,ABI2_1,IFT81_1,PCK1_1
187,ABCA5_3,GSDMB_1,PCNX1_1
188,RCAN3_4,ERICH1_1,FILIP1L_1
189,CCT6A_1,ZNF280D_1,CCDC57_2
190,RPS20_1,ATXN7L1_2,ATP5F1_2
191,SLC12A1_1,GH1_2,C7orf34_1
192,ASTN2_2,GNB4_1,SEMG2_1
193,SS18_2,CENPQ_1,MISP_3
194,ABCB10_1,PUS1_1,RALA_3
195,TMED6_1,ARHGAP31_1,TRAPPC10_1
