,sigmoid,discarded,continuous
0,ENSG00000000005,ENSG00000007216,ENSG00000004776
1,ENSG00000001084,ENSG00000013523,ENSG00000004897
2,ENSG00000001461,ENSG00000014824,ENSG00000005700
3,ENSG00000002587,ENSG00000058600,ENSG00000006704
4,ENSG00000003400,ENSG00000067225,ENSG00000007314
5,ENSG00000003987,ENSG00000076554,ENSG00000007372
6,ENSG00000004399,ENSG00000088356,ENSG00000007376
7,ENSG00000004455,ENSG00000099139,ENSG00000008323
8,ENSG00000004468,ENSG00000099937,ENSG00000008513
9,ENSG00000004848,ENSG00000101182,ENSG00000010165
10,ENSG00000004864,ENSG00000102287,ENSG00000010219
11,ENSG00000005075,ENSG00000103460,ENSG00000011132
12,ENSG00000005483,ENSG00000104660,ENSG00000011638
13,ENSG00000005801,ENSG00000108823,ENSG00000013375
14,ENSG00000005844,ENSG00000109814,ENSG00000015475
15,ENSG00000005882,ENSG00000110076,ENSG00000017483
16,ENSG00000005893,ENSG00000111817,ENSG00000017797
17,ENSG00000006042,ENSG00000113763,ENSG00000018189
18,ENSG00000006071,ENSG00000114812,ENSG00000019991
19,ENSG00000007264,ENSG00000117000,ENSG00000021645
20,ENSG00000007944,ENSG00000126803,ENSG00000022976
21,ENSG00000007952,ENSG00000128602,ENSG00000023330
22,ENSG00000008256,ENSG00000128805,ENSG00000024048
23,ENSG00000008283,ENSG00000130177,ENSG00000024526
24,ENSG00000008324,ENSG00000131373,ENSG00000025800
25,ENSG00000009694,ENSG00000131634,ENSG00000027001
26,ENSG00000009765,ENSG00000131746,ENSG00000028116
27,ENSG00000009780,ENSG00000132704,ENSG00000028203
28,ENSG00000009830,ENSG00000133226,ENSG00000028528
29,ENSG00000009950,ENSG00000134001,ENSG00000030304
30,ENSG00000010244,ENSG00000134440,ENSG00000030419
31,ENSG00000010270,ENSG00000135439,ENSG00000032444
32,ENSG00000010278,ENSG00000136143,ENSG00000033030
33,ENSG00000010404,ENSG00000137563,ENSG00000034510
34,ENSG00000010671,ENSG00000138075,ENSG00000040633
35,ENSG00000011105,ENSG00000143507,ENSG00000043039
36,ENSG00000011243,ENSG00000147416,ENSG00000044090
37,ENSG00000011523,ENSG00000149295,ENSG00000044459
38,ENSG00000011566,ENSG00000150977,ENSG00000046604
39,ENSG00000011590,ENSG00000152284,ENSG00000047365
40,ENSG00000012504,ENSG00000156858,ENSG00000048392
41,ENSG00000012660,ENSG00000162676,ENSG00000049540
42,ENSG00000013441,ENSG00000163501,ENSG00000050130
43,ENSG00000013503,ENSG00000163689,ENSG00000050165
44,ENSG00000015285,ENSG00000164105,ENSG00000050405
45,ENSG00000016391,ENSG00000164488,ENSG00000050555
46,ENSG00000016402,ENSG00000164626,ENSG00000051108
47,ENSG00000018869,ENSG00000165030,ENSG00000053108
48,ENSG00000020922,ENSG00000167107,ENSG00000054965
49,ENSG00000021826,ENSG00000167207,ENSG00000054983
50,ENSG00000023171,ENSG00000168505,ENSG00000055813
51,ENSG00000023287,ENSG00000172572,ENSG00000056736
52,ENSG00000023516,ENSG00000172831,ENSG00000056998
53,ENSG00000023734,ENSG00000175344,ENSG00000060566
54,ENSG00000025772,ENSG00000176225,ENSG00000062194
55,ENSG00000026103,ENSG00000177692,ENSG00000063587
56,ENSG00000026559,ENSG00000179241,ENSG00000064195
57,ENSG00000026751,ENSG00000180638,ENSG00000064726
58,ENSG00000029364,ENSG00000182718,ENSG00000065243
59,ENSG00000031691,ENSG00000182931,ENSG00000065325
60,ENSG00000031823,ENSG00000184785,ENSG00000066032
61,ENSG00000032742,ENSG00000184984,ENSG00000066427
62,ENSG00000036257,ENSG00000187601,ENSG00000066468
63,ENSG00000037757,ENSG00000196510,ENSG00000066697
64,ENSG00000038295,ENSG00000196700,ENSG00000066735
65,ENSG00000039650,ENSG00000198363,ENSG00000067191
66,ENSG00000042832,ENSG00000198794,ENSG00000067208
67,ENSG00000043462,ENSG00000204386,ENSG00000067840
68,ENSG00000047578,ENSG00000223547,ENSG00000067900
