sigmoid,discarded,continuous
ENSG00000002587,ENSG00000082212,ENSG00000012211
ENSG00000004838,ENSG00000100982,ENSG00000030419
ENSG00000005421,ENSG00000101052,ENSG00000056998
ENSG00000005882,ENSG00000101337,ENSG00000064195
ENSG00000005893,ENSG00000101350,ENSG00000068650
ENSG00000006071,ENSG00000101444,ENSG00000071051
ENSG00000007944,ENSG00000101639,ENSG00000077942
ENSG00000009830,ENSG00000104435,ENSG00000078401
ENSG00000013503,ENSG00000114378,ENSG00000081059
ENSG00000013573,ENSG00000115919,ENSG00000088305
ENSG00000018699,ENSG00000124191,ENSG00000100483
ENSG00000020922,ENSG00000142583,ENSG00000104808
ENSG00000025708,ENSG00000147454,ENSG00000104953
ENSG00000028277,ENSG00000154310,ENSG00000105048
ENSG00000032742,ENSG00000163995,ENSG00000106688
ENSG00000033122,ENSG00000164053,ENSG00000109667
ENSG00000038295,ENSG00000169860,ENSG00000126001
ENSG00000038382,ENSG00000180209,ENSG00000130830
ENSG00000047346,ENSG00000182173,ENSG00000134070
ENSG00000047617,ENSG00000197417,ENSG00000134817
ENSG00000049449,ENSG00000213799,ENSG00000134905
ENSG00000053501,ENSG00000256436,ENSG00000135744
ENSG00000054598,,ENSG00000137166
ENSG00000056097,,ENSG00000138030
ENSG00000059378,,ENSG00000138135
ENSG00000060709,,ENSG00000139438
ENSG00000064313,,ENSG00000143797
ENSG00000065057,,ENSG00000144488
ENSG00000065548,,ENSG00000146054
ENSG00000067533,,ENSG00000154102
ENSG00000069329,,ENSG00000160293
ENSG00000072657,,ENSG00000163683
ENSG00000072778,,ENSG00000166106
ENSG00000072954,,ENSG00000167996
ENSG00000074201,,ENSG00000168769
ENSG00000074319,,ENSG00000169026
ENSG00000074356,,ENSG00000169715
ENSG00000074800,,ENSG00000172456
ENSG00000075336,,ENSG00000174332
ENSG00000079156,,ENSG00000174749
ENSG00000079246,,ENSG00000177508
ENSG00000080608,,ENSG00000179639
ENSG00000080839,,ENSG00000181234
ENSG00000081248,,ENSG00000181418
ENSG00000081985,,ENSG00000183690
ENSG00000085449,,ENSG00000185105
ENSG00000085719,,ENSG00000185825
ENSG00000086289,,ENSG00000185838
ENSG00000086570,,ENSG00000187630
ENSG00000087253,,ENSG00000188706
ENSG00000087495,,ENSG00000188760
ENSG00000087589,,ENSG00000189058
ENSG00000088205,,ENSG00000196976
ENSG00000091622,,ENSG00000213088
ENSG00000091844,,ENSG00000213722
ENSG00000095321,,ENSG00000213988
ENSG00000099338,,ENSG00000219200
ENSG00000099624,,ENSG00000243710
ENSG00000099953,,ENSG00000253506
ENSG00000100122,,ENSG00000253649
ENSG00000100147,,ENSG00000261652
ENSG00000100448,,ENSG00000275793
ENSG00000101000,,ENSG00000077522
ENSG00000101098,,ENSG00000106031
ENSG00000101638,,ENSG00000110375
ENSG00000101746,,ENSG00000115297
ENSG00000101846,,ENSG00000116544
