,go_name,table,oddsr,p,q
GO:0000002,mitochondrial genome maintenance,"[[1, 510], [1, 1506]]",2.9529411764705884,0.4424148946049756,1.0
GO:0000003,reproduction,"[[1, 510], [2, 1505]]",1.4754901960784315,1.0,1.0
GO:0000012,single strand break repair,"[[1, 510], [2, 1505]]",1.4754901960784315,1.0,1.0
GO:0000018,regulation of DNA recombination,"[[2, 509], [3, 1504]]",1.9698755730189914,0.6058501548714356,1.0
GO:0000019,regulation of mitotic recombination,"[[2, 509], [5, 1502]]",1.1803536345776031,1.0,1.0
GO:0000022,mitotic spindle elongation,"[[2, 509], [5, 1502]]",1.1803536345776031,1.0,1.0
GO:0000054,ribosomal subunit export from nucleus,"[[6, 505], [15, 1492]]",1.1817821782178217,0.8008235998472266,1.0
GO:0000055,ribosomal large subunit export from nucleus,"[[6, 505], [15, 1492]]",1.1817821782178217,0.8008235998472266,1.0
GO:0000056,ribosomal small subunit export from nucleus,"[[6, 505], [15, 1492]]",1.1817821782178217,0.8008235998472266,1.0
GO:0000070,mitotic sister chromatid segregation,"[[6, 505], [16, 1491]]",1.1071782178217822,0.8075529683404139,1.0
GO:0000076,DNA replication checkpoint signaling,"[[6, 505], [16, 1491]]",1.1071782178217822,0.8075529683404139,1.0
GO:0000077,DNA damage checkpoint signaling,"[[7, 504], [20, 1487]]",1.0326388888888889,1.0,1.0
GO:0000209,protein polyubiquitination,"[[46, 465], [131, 1376]]",1.0390872527292128,0.8564228255822385,1.0
GO:0000212,meiotic spindle organization,"[[46, 465], [131, 1376]]",1.0390872527292128,0.8564228255822385,1.0
GO:0000226,microtubule cytoskeleton organization,"[[50, 461], [138, 1369]]",1.0759533465371436,0.6605485574996047,1.0
GO:0000244,spliceosomal tri-snRNP complex assembly,"[[51, 460], [138, 1369]]",1.099858223062382,0.5982478738255743,1.0
GO:0000245,spliceosomal complex assembly,"[[51, 460], [142, 1365]]",1.065753214941825,0.7278614841091107,1.0
GO:0000255,allantoin metabolic process,"[[51, 460], [142, 1365]]",1.065753214941825,0.7278614841091107,1.0
GO:0000256,allantoin catabolic process,"[[51, 460], [142, 1365]]",1.065753214941825,0.7278614841091107,1.0
GO:0000266,mitochondrial fission,"[[51, 460], [142, 1365]]",1.065753214941825,0.7278614841091107,1.0
GO:0000271,polysaccharide biosynthetic process,"[[51, 460], [142, 1365]]",1.065753214941825,0.7278614841091107,1.0
GO:0000272,polysaccharide catabolic process,"[[51, 460], [143, 1364]]",1.0575250836120402,0.7290731306360146,1.0
GO:0000278,mitotic cell cycle,"[[53, 458], [146, 1361]]",1.078737213614883,0.6679098444726265,1.0
GO:0000281,mitotic cytokinesis,"[[55, 456], [151, 1356]]",1.083130010456605,0.6131297643990704,1.0
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","[[55, 456], [152, 1355]]",1.0752106417359188,0.6733842620091437,1.0
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,"[[55, 456], [152, 1355]]",1.0752106417359188,0.6733842620091437,1.0
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,"[[55, 456], [153, 1354]]",1.06739479417498,0.6748286802914323,1.0
GO:0000291,"nuclear-transcribed mRNA catabolic process, exonucleolytic","[[55, 456], [153, 1354]]",1.06739479417498,0.6748286802914323,1.0
