,go_name,table,oddsr,p,q
GO:0000002,mitochondrial genome maintenance,"[[2, 892], [0, 309]]",inf,1.0,1.0
GO:0000003,reproduction,"[[3, 891], [0, 309]]",inf,0.5738567542194719,0.6468260873241668
GO:0000012,single strand break repair,"[[3, 891], [0, 309]]",inf,0.5738567542194719,0.6468260873241668
GO:0000017,alpha-glucoside transport,"[[4, 890], [0, 309]]",inf,0.5776446941819655,0.6468260873241668
GO:0000018,regulation of DNA recombination,"[[5, 889], [0, 309]]",inf,0.3364371915473542,0.4787683785448249
GO:0000019,regulation of mitotic recombination,"[[6, 888], [0, 309]]",inf,0.3476524970482964,0.4881042236981845
GO:0000022,mitotic spindle elongation,"[[6, 888], [0, 309]]",inf,0.3476524970482964,0.4881042236981845
GO:0000023,maltose metabolic process,"[[7, 887], [0, 309]]",inf,0.20088235234312285,0.4703838398322344
GO:0000025,maltose catabolic process,"[[7, 887], [0, 309]]",inf,0.20088235234312285,0.4703838398322344
GO:0000027,ribosomal large subunit assembly,"[[7, 887], [0, 309]]",inf,0.20088235234312285,0.4703838398322344
GO:0000028,ribosomal small subunit assembly,"[[7, 887], [0, 309]]",inf,0.20088235234312285,0.4703838398322344
GO:0000038,very long-chain fatty acid metabolic process,"[[10, 884], [0, 309]]",inf,0.07276214824078427,0.4703838398322344
GO:0000045,autophagosome assembly,"[[11, 883], [0, 309]]",inf,0.07580016844595758,0.4703838398322344
GO:0000050,urea cycle,"[[11, 883], [0, 309]]",inf,0.07580016844595758,0.4703838398322344
GO:0000052,citrulline metabolic process,"[[11, 883], [1, 308]]",3.836919592298981,0.31577791545700723,0.4703838398322344
GO:0000053,argininosuccinate metabolic process,"[[11, 883], [1, 308]]",3.836919592298981,0.31577791545700723,0.4703838398322344
GO:0000054,ribosomal subunit export from nucleus,"[[11, 883], [2, 307]]",1.9122310305775765,0.5335610729708865,0.6053003768997451
GO:0000055,ribosomal large subunit export from nucleus,"[[11, 883], [2, 307]]",1.9122310305775765,0.5335610729708865,0.6053003768997451
GO:0000056,ribosomal small subunit export from nucleus,"[[11, 883], [2, 307]]",1.9122310305775765,0.5335610729708865,0.6053003768997451
GO:0000070,mitotic sister chromatid segregation,"[[12, 882], [2, 307]]",2.0884353741496597,0.5383025595844884,0.6105678347067895
GO:0000076,DNA replication checkpoint signaling,"[[12, 882], [2, 307]]",2.0884353741496597,0.5383025595844884,0.6105678347067895
GO:0000077,DNA damage checkpoint signaling,"[[14, 880], [2, 307]]",2.4420454545454544,0.38559099913677514,0.528164295303441
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,"[[16, 878], [2, 307]]",2.797266514806378,0.18415461630486357,0.4703838398322344
GO:0000080,mitotic G1 phase,"[[16, 878], [2, 307]]",2.797266514806378,0.18415461630486357,0.4703838398322344
GO:0000082,G1/S transition of mitotic cell cycle,"[[17, 877], [3, 306]]",1.9771949828962372,0.4375032502475617,0.5596525189777142
GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle,"[[18, 876], [3, 306]]",2.095890410958904,0.3154747603704363,0.4703838398322344
GO:0000086,G2/M transition of mitotic cell cycle,"[[19, 875], [3, 306]]",2.214857142857143,0.22739328057922148,0.4703838398322344
GO:0000097,sulfur amino acid biosynthetic process,"[[19, 875], [3, 306]]",2.214857142857143,0.22739328057922148,0.4703838398322344
GO:0000098,sulfur amino acid catabolic process,"[[19, 875], [3, 306]]",2.214857142857143,0.22739328057922148,0.4703838398322344
GO:0000103,sulfate assimilation,"[[19, 875], [3, 306]]",2.214857142857143,0.22739328057922148,0.4703838398322344
GO:0000105,histidine biosynthetic process,"[[19, 875], [3, 306]]",2.214857142857143,0.22739328057922148,0.4703838398322344
GO:0000117,regulation of transcription involved in G2/M transition of mitotic cell cycle,"[[19, 875], [3, 306]]",2.214857142857143,0.22739328057922148,0.4703838398322344
GO:0000122,negative regulation of transcription by RNA polymerase II,"[[59, 835], [19, 290]]",1.0784746296879923,0.8935193945216248,0.917891719898302
GO:0000132,establishment of mitotic spindle orientation,"[[60, 834], [19, 290]]",1.0980689132904202,0.7911484381387,0.8389090618810362
GO:0000154,rRNA modification,"[[60, 834], [19, 290]]",1.0980689132904202,0.7911484381387,0.8389090618810362
GO:0000160,phosphorelay signal transduction system,"[[60, 834], [19, 290]]",1.0980689132904202,0.7911484381387,0.8389090618810362
GO:0000165,MAPK cascade,"[[65, 829], [23, 286]]",0.9749829548434468,0.8996620248589868,0.9223875143427949
GO:0000183,rDNA heterochromatin formation,"[[65, 829], [23, 286]]",0.9749829548434468,0.8996620248589868,0.9223875143427949
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","[[67, 827], [23, 286]]",1.007412859471111,1.0,1.0
GO:0000209,protein polyubiquitination,"[[75, 819], [25, 284]]",1.0402930402930404,1.0,1.0
GO:0000212,meiotic spindle organization,"[[75, 819], [25, 284]]",1.0402930402930404,1.0,1.0
GO:0000226,microtubule cytoskeleton organization,"[[80, 814], [27, 282]]",1.0264810264810265,1.0,1.0
GO:0000244,spliceosomal tri-snRNP complex assembly,"[[80, 814], [28, 281]]",0.9863109863109863,1.0,1.0
GO:0000245,spliceosomal complex assembly,"[[81, 813], [28, 281]]",0.999868212967844,1.0,1.0
GO:0000255,allantoin metabolic process,"[[81, 813], [28, 281]]",0.999868212967844,1.0,1.0
GO:0000256,allantoin catabolic process,"[[81, 813], [28, 281]]",0.999868212967844,1.0,1.0
GO:0000266,mitochondrial fission,"[[81, 813], [28, 281]]",0.999868212967844,1.0,1.0
GO:0000271,polysaccharide biosynthetic process,"[[81, 813], [28, 281]]",0.999868212967844,1.0,1.0
GO:0000272,polysaccharide catabolic process,"[[81, 813], [28, 281]]",0.999868212967844,1.0,1.0
GO:0000278,mitotic cell cycle,"[[82, 812], [30, 279]]",0.9391625615763547,0.8203649808291158,0.864494575080402
GO:0000281,mitotic cytokinesis,"[[83, 811], [31, 278]]",0.9177836999323814,0.7354289617084943,0.7923341173160564
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","[[83, 811], [31, 278]]",0.9177836999323814,0.7354289617084943,0.7923341173160564
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,"[[83, 811], [31, 278]]",0.9177836999323814,0.7354289617084943,0.7923341173160564
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,"[[83, 811], [31, 278]]",0.9177836999323814,0.7354289617084943,0.7923341173160564
GO:0000291,"nuclear-transcribed mRNA catabolic process, exonucleolytic","[[83, 811], [31, 278]]",0.9177836999323814,0.7354289617084943,0.7923341173160564
GO:0000296,spermine transport,"[[83, 811], [31, 278]]",0.9177836999323814,0.7354289617084943,0.7923341173160564
GO:0000301,"retrograde transport, vesicle recycling within Golgi","[[83, 811], [31, 278]]",0.9177836999323814,0.7354289617084943,0.7923341173160564
GO:0000302,response to reactive oxygen species,"[[83, 811], [32, 277]]",0.8859047472256474,0.5759172383679925,0.6468260873241668
GO:0000303,response to superoxide,"[[84, 810], [32, 277]]",0.8976851851851851,0.6548429329423006,0.7205128656221982
GO:0000304,response to singlet oxygen,"[[84, 810], [32, 277]]",0.8976851851851851,0.6548429329423006,0.7205128656221982
GO:0000305,response to oxygen radical,"[[84, 810], [32, 277]]",0.8976851851851851,0.6548429329423006,0.7205128656221982
GO:0000320,re-entry into mitotic cell cycle,"[[84, 810], [32, 277]]",0.8976851851851851,0.6548429329423006,0.7205128656221982
GO:0000338,protein deneddylation,"[[85, 809], [32, 277]]",0.9094947466007417,0.6570586590916335,0.7225667209065069
GO:0000349,generation of catalytic spliceosome for first transesterification step,"[[85, 809], [32, 277]]",0.9094947466007417,0.6570586590916335,0.7225667209065069
GO:0000350,generation of catalytic spliceosome for second transesterification step,"[[85, 809], [32, 277]]",0.9094947466007417,0.6570586590916335,0.7225667209065069
GO:0000354,cis assembly of pre-catalytic spliceosome,"[[85, 809], [32, 277]]",0.9094947466007417,0.6570586590916335,0.7225667209065069
GO:0000375,"RNA splicing, via transesterification reactions","[[85, 809], [32, 277]]",0.9094947466007417,0.6570586590916335,0.7225667209065069
GO:0000379,tRNA-type intron splice site recognition and cleavage,"[[85, 809], [32, 277]]",0.9094947466007417,0.6570586590916335,0.7225667209065069
GO:0000380,"alternative mRNA splicing, via spliceosome","[[86, 808], [33, 276]]",0.8901890189018902,0.5818755211897428,0.6483519998482321
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome","[[88, 806], [33, 276]]",0.913151364764268,0.6619732228427724,0.7279068107753194
GO:0000387,spliceosomal snRNP assembly,"[[90, 804], [33, 276]]",0.9362279511533242,0.7448349603294404,0.7994858013388342
GO:0000388,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),"[[90, 804], [33, 276]]",0.9362279511533242,0.7448349603294404,0.7994858013388342
GO:0000389,mRNA 3'-splice site recognition,"[[90, 804], [33, 276]]",0.9362279511533242,0.7448349603294404,0.7994858013388342
GO:0000390,spliceosomal complex disassembly,"[[90, 804], [33, 276]]",0.9362279511533242,0.7448349603294404,0.7994858013388342
GO:0000395,mRNA 5'-splice site recognition,"[[90, 804], [33, 276]]",0.9362279511533242,0.7448349603294404,0.7994858013388342
GO:0000398,"mRNA splicing, via spliceosome","[[94, 800], [33, 276]]",0.9827272727272728,0.9148537122033136,0.9377307176335029
GO:0000413,protein peptidyl-prolyl isomerization,"[[94, 800], [33, 276]]",0.9827272727272728,0.9148537122033136,0.9377307176335029
GO:0000422,autophagy of mitochondrion,"[[94, 800], [33, 276]]",0.9827272727272728,0.9148537122033136,0.9377307176335029
