,go_name,table,oddsr,p,q
GO:0000002,mitochondrial genome maintenance,"[[0, 160], [1, 845]]",0.0,1.0,1.0
GO:0000003,reproduction,"[[0, 160], [1, 845]]",0.0,1.0,1.0
GO:0000012,single strand break repair,"[[0, 160], [1, 845]]",0.0,1.0,1.0
GO:0000017,alpha-glucoside transport,"[[0, 160], [1, 845]]",0.0,1.0,1.0
GO:0000018,regulation of DNA recombination,"[[0, 160], [2, 844]]",0.0,1.0,1.0
GO:0000019,regulation of mitotic recombination,"[[0, 160], [2, 844]]",0.0,1.0,1.0
GO:0000022,mitotic spindle elongation,"[[0, 160], [2, 844]]",0.0,1.0,1.0
GO:0000023,maltose metabolic process,"[[0, 160], [2, 844]]",0.0,1.0,1.0
GO:0000025,maltose catabolic process,"[[0, 160], [2, 844]]",0.0,1.0,1.0
GO:0000027,ribosomal large subunit assembly,"[[0, 160], [2, 844]]",0.0,1.0,1.0
GO:0000028,ribosomal small subunit assembly,"[[0, 160], [2, 844]]",0.0,1.0,1.0
GO:0000038,very long-chain fatty acid metabolic process,"[[0, 160], [3, 843]]",0.0,1.0,1.0
GO:0000045,autophagosome assembly,"[[0, 160], [4, 842]]",0.0,1.0,1.0
GO:0000050,urea cycle,"[[0, 160], [4, 842]]",0.0,1.0,1.0
GO:0000052,citrulline metabolic process,"[[0, 160], [5, 841]]",0.0,1.0,1.0
GO:0000053,argininosuccinate metabolic process,"[[0, 160], [5, 841]]",0.0,1.0,1.0
GO:0000054,ribosomal subunit export from nucleus,"[[0, 160], [6, 840]]",0.0,0.5973942895956976,0.7006267305739909
GO:0000055,ribosomal large subunit export from nucleus,"[[0, 160], [6, 840]]",0.0,0.5973942895956976,0.7006267305739909
GO:0000056,ribosomal small subunit export from nucleus,"[[0, 160], [6, 840]]",0.0,0.5973942895956976,0.7006267305739909
GO:0000070,mitotic sister chromatid segregation,"[[0, 160], [6, 840]]",0.0,0.5973942895956976,0.7006267305739909
GO:0000076,DNA replication checkpoint signaling,"[[0, 160], [6, 840]]",0.0,0.5973942895956976,0.7006267305739909
GO:0000077,DNA damage checkpoint signaling,"[[0, 160], [7, 839]]",0.0,0.6049766971416453,0.7028670788368876
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,"[[1, 159], [7, 839]]",0.7538185085354897,1.0,1.0
GO:0000080,mitotic G1 phase,"[[1, 159], [7, 839]]",0.7538185085354897,1.0,1.0
GO:0000082,G1/S transition of mitotic cell cycle,"[[1, 159], [8, 838]]",0.6588050314465409,1.0,1.0
GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle,"[[1, 159], [8, 838]]",0.6588050314465409,1.0,1.0
GO:0000086,G2/M transition of mitotic cell cycle,"[[1, 159], [8, 838]]",0.6588050314465409,1.0,1.0
GO:0000097,sulfur amino acid biosynthetic process,"[[1, 159], [8, 838]]",0.6588050314465409,1.0,1.0
GO:0000098,sulfur amino acid catabolic process,"[[1, 159], [8, 838]]",0.6588050314465409,1.0,1.0
GO:0000103,sulfate assimilation,"[[1, 159], [8, 838]]",0.6588050314465409,1.0,1.0
GO:0000105,histidine biosynthetic process,"[[1, 159], [8, 838]]",0.6588050314465409,1.0,1.0
GO:0000117,regulation of transcription involved in G2/M transition of mitotic cell cycle,"[[1, 159], [8, 838]]",0.6588050314465409,1.0,1.0
GO:0000122,negative regulation of transcription by RNA polymerase II,"[[4, 156], [34, 812]]",0.6123680241327301,0.49742201690451693,0.5950092892183474
GO:0000132,establishment of mitotic spindle orientation,"[[5, 155], [34, 812]]",0.7703984819734345,0.8228002133357102,0.8755979853915464
GO:0000154,rRNA modification,"[[5, 155], [34, 812]]",0.7703984819734345,0.8228002133357102,0.8755979853915464
GO:0000160,phosphorelay signal transduction system,"[[5, 155], [34, 812]]",0.7703984819734345,0.8228002133357102,0.8755979853915464
GO:0000165,MAPK cascade,"[[7, 153], [40, 806]]",0.9218954248366014,1.0,1.0
GO:0000183,rDNA heterochromatin formation,"[[7, 153], [40, 806]]",0.9218954248366014,1.0,1.0
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","[[7, 153], [41, 805]]",0.8982942770604176,1.0,1.0
GO:0000209,protein polyubiquitination,"[[7, 153], [46, 800]]",0.7956805910770105,0.7014891502482223,0.7887466273839328
GO:0000212,meiotic spindle organization,"[[7, 153], [46, 800]]",0.7956805910770105,0.7014891502482223,0.7887466273839328
GO:0000226,microtubule cytoskeleton organization,"[[8, 152], [50, 796]]",0.8378947368421052,0.85297850094228,0.9012329206042635
GO:0000244,spliceosomal tri-snRNP complex assembly,"[[8, 152], [51, 795]]",0.8204334365325078,0.7159817589511117,0.8045321131071028
GO:0000245,spliceosomal complex assembly,"[[8, 152], [51, 795]]",0.8204334365325078,0.7159817589511117,0.8045321131071028
GO:0000255,allantoin metabolic process,"[[8, 152], [51, 795]]",0.8204334365325078,0.7159817589511117,0.8045321131071028
GO:0000256,allantoin catabolic process,"[[8, 152], [51, 795]]",0.8204334365325078,0.7159817589511117,0.8045321131071028
GO:0000266,mitochondrial fission,"[[8, 152], [51, 795]]",0.8204334365325078,0.7159817589511117,0.8045321131071028
GO:0000271,polysaccharide biosynthetic process,"[[8, 152], [51, 795]]",0.8204334365325078,0.7159817589511117,0.8045321131071028
GO:0000272,polysaccharide catabolic process,"[[8, 152], [51, 795]]",0.8204334365325078,0.7159817589511117,0.8045321131071028
GO:0000278,mitotic cell cycle,"[[8, 152], [53, 793]]",0.7874875868917577,0.7173790099744257,0.8060292476825011
GO:0000281,mitotic cytokinesis,"[[8, 152], [55, 791]]",0.7569377990430622,0.5940068620351442,0.6976421017944672
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","[[8, 152], [55, 791]]",0.7569377990430622,0.5940068620351442,0.6976421017944672
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,"[[8, 152], [55, 791]]",0.7569377990430622,0.5940068620351442,0.6976421017944672
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,"[[8, 152], [55, 791]]",0.7569377990430622,0.5940068620351442,0.6976421017944672
GO:0000291,"nuclear-transcribed mRNA catabolic process, exonucleolytic","[[8, 152], [55, 791]]",0.7569377990430622,0.5940068620351442,0.6976421017944672
GO:0000296,spermine transport,"[[8, 152], [55, 791]]",0.7569377990430622,0.5940068620351442,0.6976421017944672
GO:0000301,"retrograde transport, vesicle recycling within Golgi","[[8, 152], [55, 791]]",0.7569377990430622,0.5940068620351442,0.6976421017944672
GO:0000302,response to reactive oxygen species,"[[8, 152], [56, 790]]",0.7424812030075187,0.5954384182681489,0.6986627449117061
GO:0000303,response to superoxide,"[[8, 152], [56, 790]]",0.7424812030075187,0.5954384182681489,0.6986627449117061
GO:0000304,response to singlet oxygen,"[[8, 152], [56, 790]]",0.7424812030075187,0.5954384182681489,0.6986627449117061
GO:0000305,response to oxygen radical,"[[8, 152], [56, 790]]",0.7424812030075187,0.5954384182681489,0.6986627449117061
GO:0000320,re-entry into mitotic cell cycle,"[[8, 152], [56, 790]]",0.7424812030075187,0.5954384182681489,0.6986627449117061
GO:0000338,protein deneddylation,"[[8, 152], [56, 790]]",0.7424812030075187,0.5954384182681489,0.6986627449117061
GO:0000349,generation of catalytic spliceosome for first transesterification step,"[[8, 152], [56, 790]]",0.7424812030075187,0.5954384182681489,0.6986627449117061
GO:0000350,generation of catalytic spliceosome for second transesterification step,"[[8, 152], [56, 790]]",0.7424812030075187,0.5954384182681489,0.6986627449117061
GO:0000354,cis assembly of pre-catalytic spliceosome,"[[8, 152], [56, 790]]",0.7424812030075187,0.5954384182681489,0.6986627449117061
GO:0000375,"RNA splicing, via transesterification reactions","[[8, 152], [56, 790]]",0.7424812030075187,0.5954384182681489,0.6986627449117061
GO:0000379,tRNA-type intron splice site recognition and cleavage,"[[8, 152], [57, 789]]",0.7285318559556787,0.48631851447218516,0.588041186495195
