,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
0,R-HSA-597592,Post-translational protein modification,CHEBI:16027,['Q9UBE0'],,0.13099406073145609
1,R-HSA-597592,Post-translational protein modification,CHEBI:16556,"['Q02505', 'Q8N307', 'P61647', 'Q6W4X9', 'Q9UKN1', 'Q16842', 'Q11206', 'Q11201', 'Q9UJ37']",,0.13099406073145609
2,R-HSA-597592,Post-translational protein modification,CHEBI:4208,"['Q9BV94', 'O60476', 'Q92611']",,0.13099406073145609
3,R-HSA-597592,Post-translational protein modification,CHEBI:16680,"['Q96G04', 'Q8IXQ9']",,0.13099406073145609
4,R-HSA-597592,Post-translational protein modification,CHEBI:17659,"['Q8N3Y3', 'Q9UKP4', 'Q8TE56', 'Q8NFL0', 'O94777', 'Q8N428', 'Q9Y2A9', 'Q86SF2', 'Q02742', 'Q8TE58', 'Q7Z7M8', 'Q10472', 'Q9Y673', 'Q8N307', 'Q9BYG0', 'Q6W4X9', 'Q9UKN1', 'P82987', 'Q02505', 'Q9P283', 'Q6UX72']",,0.13099406073145609
5,R-HSA-597592,Post-translational protein modification,CHEBI:16264,"['O94777', 'Q9Y2A9', 'Q02505', 'Q8N307', 'Q9BYG0', 'Q6W4X9', 'Q6UX72', 'Q8NFL0', 'Q9UKN1', 'Q7Z7M8', 'Q02742']",,0.13099406073145609
6,R-HSA-1280218,Adaptive Immune System,CHEBI:16027,"['Q8WVD3', 'Q15034', 'Q05086', 'Q9NXK8', 'Q7L5Y6', 'P41226', 'Q9ULT8', 'Q86WT6', 'P49427', 'Q9NYG5', 'Q17RB8', 'Q8TDB6', 'Q8IYU2', 'Q9UJT9', 'Q8IWV7', 'Q9P2P5', 'Q9H832', 'Q8TC41', 'Q9Y385', 'Q9Y508', 'Q14999', 'Q8IVU3', 'Q5XUX1', 'P30260', 'Q8N1E6', 'Q8NI29', 'Q8IWV8', 'Q13049', 'O95198', 'Q86V97', 'Q9Y6I7', 'Q7Z419', 'P61077', 'Q9BSL1', 'Q9H4M3', 'O43164', 'Q9H0C5', 'Q8WXK3', 'Q8N461']",,0.025014370678353465
7,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16556,"['P20774', 'Q16842', 'Q11206', 'Q11201']",,0.11116058694894307
8,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:17659,"['O60512', 'P78333', 'Q9Y2A9', 'Q8NFL0', 'P20774']",,0.11116058694894307
9,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16264,"['Q8NFL0', 'P78333', 'Q9Y2A9', 'P20774']",,0.11116058694894307
10,R-HSA-72306,tRNA processing,CHEBI:16027,"['Q14657', 'Q8IWT0', 'Q96S44', 'Q52LJ0']",,0.058356382265979334
11,R-HSA-72306,tRNA processing,CHEBI:16680,"['O14717', 'Q9NXH9', 'Q9UBP6', 'Q96FX7']",,0.058356382265979334
12,R-HSA-947581,Molybdenum cofactor biosynthesis,CHEBI:16027,"['O96033', 'O95396', 'Q9NQX3', 'O96007']",,2.5809802295384543e-08
13,R-HSA-983169,Class I MHC mediated antigen processing & presentation,CHEBI:16027,"['Q8WVD3', 'Q15034', 'Q05086', 'Q9NXK8', 'Q7L5Y6', 'P41226', 'Q9ULT8', 'Q86WT6', 'P49427', 'Q9NYG5', 'Q17RB8', 'Q8TDB6', 'Q8IYU2', 'Q9UJT9', 'Q8IWV7', 'Q9P2P5', 'Q9H832', 'Q8TC41', 'Q9Y385', 'Q9Y508', 'Q14999', 'Q8IVU3', 'Q5XUX1', 'P30260', 'Q8N1E6', 'Q8NI29', 'Q8IWV8', 'Q13049', 'O95198', 'Q86V97', 'Q9Y6I7', 'Q7Z419', 'P61077', 'Q9BSL1', 'Q9H4M3', 'O43164', 'Q9H0C5', 'Q8WXK3', 'Q8N461']",,0.03320722096960349
14,R-HSA-418555,G alpha (s) signalling events,CHEBI:16027,"['Q9Y233', 'O00408', 'Q08499']",,0.0006556515388669304
15,R-HSA-418555,G alpha (s) signalling events,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:15555;CHEBI:16325;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P04090', 'P10092', 'O43194', 'P63092', 'O60895', 'P08588', 'Q5JWF2', 'Q9HBX9', 'Q03431', 'Q8NGU9', 'P50150', 'O14775', 'P41587', 'P51460', 'P30518', 'O95838']",,0.0006556515388669304
