Name,p-value mannwhitney,q-value mannwhitney
ENSG00000187634,0.0407150477639543,0.070836314240947
ENSG00000188976,1.37334973483385E-19,5.56085089598677E-19
ENSG00000187961,4.10879276715642E-12,1.28884421240545E-11
ENSG00000187583,1.46123551545096E-55,4.43721098062375E-54
ENSG00000187642,2.55399286378566E-05,5.98078390981241E-05
ENSG00000188290,5.28236867963115E-28,2.8819632758187E-27
ENSG00000187608,5.5091767833141E-23,2.50291968910956E-22
ENSG00000188157,0.0412663776555617,0.071712810539274
ENSG00000237330,9.03709665466998E-57,3.06246190398965E-55
ENSG00000131591,9.35847092038761E-09,2.59092520323138E-08
ENSG00000162571,7.57472037679375E-42,8.23627251879972E-41
ENSG00000186891,2.20906440278915E-64,1.63955467437328E-62
ENSG00000186827,1.24644531758865E-39,1.18212153798768E-38
ENSG00000078808,0.00116198776379904,0.00242082952821634
ENSG00000176022,3.56177079605331E-20,1.47028967238574E-19
ENSG00000184163,1.75911896805463E-35,1.33254216835007E-34
ENSG00000160087,5.03272633193911E-30,2.97271197761157E-29
ENSG00000162572,2.42451126644831E-45,3.29644938646236E-44
ENSG00000131584,4.4127166426126E-47,6.8072679373725E-46
ENSG00000169972,3.34750686190019E-07,8.64853957706038E-07
ENSG00000127054,2.56426751365646E-51,5.38447941082422E-50
ENSG00000224051,6.34786676789495E-25,3.09968055919966E-24
ENSG00000169962,2.33685148712537E-52,5.3409783804639E-51
ENSG00000107404,5.78711963513814E-53,1.39402895207581E-51
ENSG00000162576,1.55600798585699E-34,1.12537869268674E-33
ENSG00000175756,1.47800979128036E-14,5.04878881698579E-14
ENSG00000221978,7.50450709687208E-35,5.51479992887059E-34
ENSG00000242485,7.82986147408376E-46,1.10105330927951E-44
ENSG00000235098,1.78326620026823E-53,4.4873506057516E-52
ENSG00000179403,4.02139562402108E-52,9.00666749452202E-51
ENSG00000215915,4.81683364057765E-36,3.75372711507344E-35
ENSG00000160072,0.0210556301694519,0.0382383069224487
ENSG00000197785,0.708616980548638,0.805565413381154
ENSG00000205090,2.02583155545723E-59,8.74460453246207E-58
ENSG00000160075,6.43568833839684E-24,3.02581984020675E-23
ENSG00000228594,1.03318028546856E-06,2.60832690758352E-06
ENSG00000197530,7.58456453098847E-26,3.82782166316443E-25
ENSG00000189409,1.58145578411719E-09,4.51996065541442E-09
ENSG00000248333,1.49840967343448E-42,1.70373851070827E-41
ENSG00000189339,3.5577896806934E-13,1.1598090967148E-12
ENSG00000008128,0.0220529400117936,0.0399740424435139
ENSG00000008130,1.58982219052033E-24,7.64762719091552E-24
ENSG00000078369,2.7404863501908E-36,2.15946300526894E-35
ENSG00000169885,0.923822636180623,0.985555608944494
ENSG00000178821,1.78423839274834E-54,4.90077251055429E-53
ENSG00000142609,0.0352799176730766,0.061953813204777
ENSG00000187730,0.109908951865322,0.174957171024448
ENSG00000067606,3.77634048629977E-63,2.44228147812108E-61
ENSG00000162585,7.90188074814017E-50,1.50221594052859E-48
ENSG00000157933,1.02660668581641E-37,8.737114814802E-37
ENSG00000116151,2.61488158862085E-20,1.08516905424712E-19
ENSG00000157916,2.39557975846771E-09,6.79358229050141E-09
ENSG00000157911,5.52139172697298E-17,2.04747482863293E-16
ENSG00000149527,2.97185630003585E-20,1.23102431107244E-19
ENSG00000157881,3.56136962325103E-36,2.79015613114135E-35
ENSG00000197921,1.76217900557476E-38,1.55966534789319E-37
ENSG00000157873,8.83785669721247E-08,2.3479974097559E-07
ENSG00000157870,5.40098152232067E-36,4.19664460121514E-35
ENSG00000142606,2.23012632304731E-15,7.83273805728018E-15
ENSG00000215912,0.396800171808627,0.510314023437829
ENSG00000142611,3.44459981889127E-15,1.20301263808134E-14
ENSG00000130762,9.03818561066839E-53,2.14567525941402E-51
ENSG00000162591,3.37921158583596E-37,2.79910858177891E-36
ENSG00000158109,3.48661290246532E-22,1.54149497722827E-21
ENSG00000116213,3.81115907833581E-16,1.3762436700256E-15
ENSG00000078900,8.79878761769492E-26,4.42899290500006E-25
ENSG00000235169,2.44450340495459E-32,1.59909831857396E-31
ENSG00000130764,9.12638693272461E-53,2.16477277465431E-51
ENSG00000116198,4.43304409284309E-37,3.6467761832651E-36
ENSG00000169598,0.17691674845693,0.263693171009631
ENSG00000198912,1.48900380735288E-21,6.43183728037971E-21
ENSG00000196581,1.10341581753582E-18,4.32600077438373E-18
ENSG00000131697,1.77384635151685E-21,7.64468189276012E-21
ENSG00000069424,5.33942214306578E-05,0.000122486300070255
ENSG00000116254,1.16857828315829E-22,5.25813122524296E-22
ENSG00000116251,8.77116796751244E-35,6.42139877381297E-34
ENSG00000158286,1.88211714647271E-06,4.69230376093632E-06
ENSG00000116237,1.62681039801888E-28,9.05075446019016E-28
ENSG00000158292,0.83848684238207,0.921048339576273
ENSG00000097021,0.0655518221477906,0.109766999175981
ENSG00000069812,1.38129054819405E-70,3.22568909482655E-68
ENSG00000187017,4.08218071697806E-63,2.62184985450744E-61
ENSG00000215788,5.30940563816021E-35,3.93589928121445E-34
ENSG00000171680,0.0185647141647161,0.0339956163809607
ENSG00000162408,1.05845990223846E-46,1.59298708853096E-45
ENSG00000173662,5.81566856381138E-35,4.29863474443126E-34
ENSG00000204859,0.000527213822605542,0.00112966005378851
ENSG00000162413,2.34811200187886E-63,1.56390423819648E-61
ENSG00000116273,3.36843870302214E-55,9.87927847250523E-54
ENSG00000041988,3.00578556427675E-49,5.44151507294773E-48
ENSG00000007923,8.01120664097601E-13,2.58005419853607E-12
ENSG00000171735,4.69585444245953E-47,7.23405255304979E-46
ENSG00000049245,1.10694618344407E-27,5.97239549325926E-27
ENSG00000049246,2.54781482992675E-46,3.72644625531189E-45
ENSG00000049247,1.68815868828308E-12,5.37179024339471E-12
ENSG00000049249,9.41901096954283E-19,3.70230626530551E-18
ENSG00000116288,4.80778525467946E-46,6.87162403122726E-45
