,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
37,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:17659,P51654,,0.04495231310827487
36,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16556,"Q11206, Q11201",,0.04495231310827487
46,R-HSA-168256,Immune System,CHEBI:16027,"Q8WXK4, Q6ZMZ0, Q8WVD3, Q9Y508, Q9Y252, P05161, Q8N461, Q13042",,0.08568792434424927
23,R-HSA-196854,Metabolism of vitamins and cofactors,CHEBI:16027,O95396,,0.09364473940663287
27,R-HSA-211859,Biological oxidations,CHEBI:16335,P23526,,0.08568792434424927
25,R-HSA-211859,Biological oxidations,CHEBI:34310,Q9NYL5,,0.08568792434424927
2,R-HSA-212165,Epigenetic regulation of gene expression,CHEBI:16680,"O00422, Q9UBC3, Q9BTM1",,0.0946642360251472
31,R-HSA-212436,Generic Transcription Pathway,CHEBI:16680,Q9BTM1,,0.052566505378090295
15,R-HSA-392499,Metabolism of proteins,CHEBI:16680,Q8IXQ9,,0.180434625876851
12,R-HSA-392499,Metabolism of proteins,CHEBI:16027,Q9HA77,,0.180434625876851
54,R-HSA-418555,G alpha (s) signalling events,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:15555;CHEBI:16325;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"P50150, P63092, P09683, Q5JWF2",,0.04495231310827487
50,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",CHEBI:16556,"Q11201, Q969X2, Q9UNP4, P61647, Q11206",,0.04495231310827487
53,R-HSA-446203,Asparagine N-linked glycosylation,CHEBI:4208,Q9BV94,,0.1762729624869998
9,R-HSA-5173105,O-linked glycosylation,CHEBI:17659,"Q8TE58, Q86TH1, Q10472",,0.180434625876851
1,R-HSA-5668914,Diseases of metabolism,CHEBI:16264,P51654,,0.040289199844981916
0,R-HSA-5668914,Diseases of metabolism,CHEBI:16680,P23526,,0.040289199844981916
3,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16556,"Q11206, Q11201, Q969X2",,0.0822021841253099
4,R-HSA-71387,Metabolism of carbohydrates,CHEBI:17659,"P51654, O15488",,0.0822021841253099
43,R-HSA-74160,Gene expression (Transcription),CHEBI:16680,"O00422, Q9UBC3, Q9BTM1, Q9Y2W6",,0.06352023398089521
42,R-HSA-74160,Gene expression (Transcription),CHEBI:16027,O00268,,0.06352023398089521
34,R-HSA-8953854,Metabolism of RNA,CHEBI:16027,"P11940, Q96S44, Q9NQT4, Q14657",,0.15718067968757696
35,R-HSA-8953854,Metabolism of RNA,CHEBI:17345,Q9NQT4,,0.15718067968757696
6,R-HSA-8978868,Fatty acid metabolism,CHEBI:16027,Q5FVE4,,0.06352023398089521
7,R-HSA-8978868,Fatty acid metabolism,CHEBI:28125,O14734,,0.06352023398089521
18,R-HSA-9694516,SARS-CoV-2 Infection,CHEBI:17659,Q10472,,0.12924644302154814
45,R-HSA-983169,Class I MHC mediated antigen processing & presentation,CHEBI:16027,"Q8WXK4, Q6ZMZ0, Q8WVD3, Q9Y508, Q9Y252, Q8N461, Q13042",,0.0
