,discarded,sigmoid,continuous
0,ATG2B,ADGRB3,ABCA13
1,TNRC6A,COL18A1,ASXL2
2,MYH1,FAM208A,OSBPL6
3,ATXN7L3B,WDR87,PRKDC
4,MYH15,A2ML1,PLXNA1
5,SLIT3,ERBB4,MYH14
6,ISLR2,KCNV2,PCLO
7,FZD1,POLR2B,SLC5A3
8,HERC2,TAOK3,SLIT1
9,INTS1,SPATA31E1,ZXDB
10,CHD7,SRFBP1,DCHS2
11,GRIA1,PKDREJ,DCHS1
12,LRBA,UBR4,TMEM200A
13,LYST,NOVA1,DSCAM
14,TENM1,TFAP2D,LRRCC1
15,DOCK5,GRIN2A,SOCS6
16,CACNA1B,ANK3,CHMP1B
17,PXDNL,MAST4,CNTN6
18,SHANK2,PCDHGA5,APC
19,MASP1,PCDHGA8,PCDH10
20,ITPRIPL2,CHRM2,TET1
21,RP1L1,PCDH19,TSHZ3
22,CACNA1H,DUOX1,KCNB2
23,PAPPA,CECR2,TNXB
24,COL4A5,COL4A1,
25,HELZ2,RAG1,
26,RBM15,ALK,
27,NFASC,NCAM1,
28,KIAA1217,TNRC6B,
29,CSMD3,GUCY1A3,
30,POSTN,ROBO1,
31,ABCA7,GCNT1,
32,ICE1,LRP12,
33,FOXG1,COL6A5,
34,LAMA3,GLI3,
35,ELFN1,FLG2,
36,B3GNT5,EVC2,
37,ATP2B2,SASH1,
38,SCN2B,SLC44A1,
39,ZNF71,ZNF106,
40,KMT2A,CADPS,
41,MYH13,ZNF469,
42,MKI67,PCDHA12,
43,IFI16,PCDHGA3,
44,MAF,SLITRK5,
45,ITPR1,SLC22A10,
46,UBR5,MAPKBP1,
47,LHX9,ACVR1B,
48,SEMA3D,SEMA5A,
49,OSMR,UGT3A2,
50,INTS3,MAPT,
51,CCDC168,ZNF835,
52,MYO15A,CACNA1I,
53,NBEAL1,KCND3,
54,SCN5A,GREB1,
55,ITGA7,ANKAR,
56,VPS13D,BCL9L,
57,GCN1L1,CPS1,
58,LMO7,GGPS1,
59,SFMBT2,CNOT1,
60,KCNJ12,LAMA1,
61,NPR3,LRRN3,
62,PCF11,PABPC3,
63,SMCHD1,VWDE,
64,RAP2B,PI4KA,
65,NEB,TENM3,
66,HECTD4,ATRX,
67,FLNA,MUM1L1,
68,ARHGEF10,DIP2B,
69,ATXN2L,CACNA1G,
70,DSCAML1,CENPF,
71,C5orf24,LRRK2,
72,ENAM,RALGAPA2,
73,MUC4,SYNE2,
74,CELSR1,NLRP7,
75,PLXNA4,FER,
76,HTT,ING1,
77,ANKRD11,EP300,
78,NPAP1,MEIS2,
79,KMT2C,XIRP2,
80,PCDH9,CLEC4D,
81,IGF2R,AFF3,
82,POLRMT,ADAMTS9,
83,HIVEP3,ARID1A,
84,MDGA2,ITSN2,
85,CACNA1C,COL12A1,
86,IGFN1,DNAH6,
87,NRXN2,CHD2,
88,PPP4R4,ZNF540,
89,GUF1,WDR17,
90,TENM2,TENM4,
91,LAMA2,TP53BP1,
92,ATR,NUP210,
93,CLUH,ERBB3,
94,CCNA1,GRM6,
95,MYLK,HECTD1,
96,ARHGEF4,NELL1,
97,FAT2,SMC2,
98,DDX60L,PRKD1,
99,DMXL2,NR4A2,
100,TRIO,PCDHB7,
101,ATP10A,SETD2,
102,GTF3C1,SLITRK4,
103,COL5A1,TRIOBP,
104,PPRC1,ZFHX3,
105,CFAP47,CELSR3,
106,WBSCR17,LRRC7,
107,SHPRH,MYO1F,
108,KIF6,ABCB4,
109,MGAT3,PCDHA3,
110,GLTSCR1,COBL,
111,LAMA5,GRM8,
112,PRDM10,CREBBP,
113,CFH,KIAA2018,
114,LRP2,SIGLEC1,
