,1,2,sigmoidal
ENSG00000002745,0.764,0.826,0.7867803837953091
ENSG00000003096,0.041999999999999926,0.14,0.27911646586345384
ENSG00000004399,0.06000000000000005,0.06599999999999995,0.0444444444444444
ENSG00000004838,0.1519999999999999,0.246,0.2677824267782427
ENSG00000005249,0.118,0.16599999999999993,0.11066398390342047
ENSG00000005981,0.278,0.45599999999999996,0.20746887966804972
ENSG00000006071,0.14800000000000002,0.32200000000000006,0.334008097165992
ENSG00000006282,0.992,0.5640000000000001,0.6687631027253669
ENSG00000006377,0.20999999999999996,0.38,0.40040650406504064
ENSG00000006744,0.45199999999999996,0.4159999999999999,0.28025477707006363
ENSG00000007202,0.522,0.19399999999999995,0.5838509316770186
ENSG00000009694,0.486,0.716,0.5253164556962024
ENSG00000009830,0.08799999999999997,0.22999999999999998,0.024439918533604832
ENSG00000010327,0.832,0.666,0.8997995991983968
ENSG00000010932,0.732,0.964,0.8536585365853658
ENSG00000012171,0.912,0.89,0.78125
ENSG00000016082,0.614,0.852,0.8464646464646465
ENSG00000017427,0.10999999999999999,0.362,0.11702127659574468
ENSG00000017797,0.030000000000000027,0.08999999999999997,0.48643006263048016
ENSG00000018280,0.252,0.548,0.7237903225806452
ENSG00000019169,0.44199999999999995,0.646,0.6310483870967742
ENSG00000021826,0.29399999999999993,0.46199999999999997,0.3839835728952772
ENSG00000025039,0.6839999999999999,0.4019999999999999,0.7028112449799198
ENSG00000026652,0.05799999999999994,0.1359999999999999,0.06464646464646462
ENSG00000027644,0.55,0.7979999999999999,0.6387665198237885
ENSG00000028277,0.32200000000000006,0.6059999999999999,0.4571428571428572
ENSG00000030419,0.010000000000000009,0.06000000000000005,0.0955284552845529
ENSG00000031003,0.6,0.6219999999999999,0.5526315789473684
ENSG00000033122,0.372,0.6579999999999999,0.32106339468302647
ENSG00000033170,0.0039999999999998925,0.0039999999999998925,0.020576131687242705
ENSG00000036530,0.5800000000000001,0.824,0.6224066390041494
ENSG00000039600,0.728,0.916,0.9056224899598393
ENSG00000043591,0.010000000000000009,0.008000000000000007,0.010183299389001976
ENSG00000047346,0.08799999999999997,0.20399999999999996,0.12825651302605212
ENSG00000047617,0.43399999999999994,0.43999999999999995,0.4245472837022133
ENSG00000048052,0.976,0.548,0.9757085020242915
ENSG00000049130,0.02199999999999991,0.028000000000000025,0.0
ENSG00000050438,0.722,0.614,0.5855130784708249
ENSG00000054598,0.31000000000000005,0.374,0.31462925851703405
ENSG00000055732,0.04599999999999993,0.16199999999999992,0.06868686868686869
ENSG00000055955,0.6539999999999999,0.838,0.689727463312369
ENSG00000058091,0.856,0.714,0.8467741935483871
ENSG00000058404,0.968,0.944,0.9678068410462777
ENSG00000059804,0.478,0.696,0.4574898785425101
ENSG00000060656,0.698,0.894,0.7777777777777778
ENSG00000060709,0.19199999999999984,0.516,0.05870445344129549
ENSG00000063015,0.894,0.9359999999999999,0.8989690721649485
ENSG00000063127,0.09999999999999998,0.08399999999999996,0.05991735537190079
ENSG00000064042,0.10199999999999987,0.16799999999999993,0.11399999999999988
ENSG00000064218,0.1339999999999999,0.10399999999999987,0.11704312114989734
ENSG00000064300,0.994,0.874,0.9939148073022313
ENSG00000064652,0.07199999999999984,0.18399999999999994,0.08016032064128253
ENSG00000064692,0.6159999999999999,0.1519999999999999,0.24395161290322587
ENSG00000065559,0.07399999999999995,0.10399999999999987,0.018036072144288484
ENSG00000065833,0.576,0.732,0.6109936575052854
ENSG00000066405,0.16799999999999993,0.3959999999999999,0.4683026584867076
ENSG00000066468,0.06000000000000005,0.16399999999999992,0.16633266533066138
ENSG00000066926,0.08399999999999996,0.18599999999999994,0.1887550200803213
ENSG00000067048,0.618,0.8,0.9436619718309859
ENSG00000067057,0.028000000000000025,0.08999999999999997,0.0
ENSG00000067798,0.794,0.6579999999999999,0.6735112936344969
ENSG00000068784,0.0039999999999998925,0.008000000000000007,0.006036217303822866
ENSG00000068831,0.722,0.6819999999999999,0.9175050301810865
ENSG00000069188,0.19999999999999996,0.28200000000000003,0.07789473684210535
ENSG00000069431,0.31200000000000006,0.268,0.3561368209255532
ENSG00000069493,0.015999999999999903,0.02399999999999991,0.030303030303030276
ENSG00000069535,0.10999999999999999,0.29799999999999993,0.33333333333333326
ENSG00000070182,0.20799999999999996,0.512,0.6033755274261603
ENSG00000070601,0.864,0.97,0.8868686868686868
ENSG00000071205,0.64,0.23399999999999987,0.2787878787878788
ENSG00000071575,0.0,0.0019999999999998908,0.004065040650406471
ENSG00000072182,0.908,0.956,
ENSG00000072210,0.08799999999999997,0.14,0.012295081967213073
ENSG00000072310,0.586,0.79,0.6560509554140127
ENSG00000072694,0.24399999999999988,0.5619999999999999,0.7627811860940695
ENSG00000073756,0.16199999999999992,0.19999999999999996,0.08032128514056225
ENSG00000074211,0.34399999999999986,0.42599999999999993,0.4104627766599598
ENSG00000074356,0.08999999999999997,0.28200000000000003,0.10441767068273089
ENSG00000074800,0.30399999999999994,0.5519999999999999,0.05668016194331982
ENSG00000074855,0.06799999999999995,0.16199999999999992,0.01807228915662651
ENSG00000075336,0.1419999999999999,0.29599999999999993,0.3702213279678068
ENSG00000075884,0.752,0.5559999999999999,0.726530612244898
ENSG00000077264,0.576,0.18599999999999994,0.30549898167006106
ENSG00000078018,0.788,0.764,0.8466257668711656
ENSG00000078043,0.018000000000000016,0.018000000000000016,0.008064516129032362
ENSG00000078177,0.18199999999999994,0.09799999999999998,0.04417670682730934
ENSG00000078596,0.1439999999999999,0.28200000000000003,0.3346693386773546
ENSG00000078795,0.8,0.23199999999999987,0.8148893360160966
ENSG00000079134,0.04599999999999993,0.06799999999999995,0.05421686746987964
ENSG00000079156,0.506,0.29399999999999993,0.45766129032258074
ENSG00000079215,0.29599999999999993,0.508,0.591182364729459
ENSG00000079689,0.382,0.722,0.7881873727087576
ENSG00000080166,0.53,0.6739999999999999,0.6735112936344969
ENSG00000080561,0.051999999999999935,0.10399999999999987,0.1338742393509128
ENSG00000080709,0.14800000000000002,0.31999999999999995,0.44306418219461696
ENSG00000080854,0.9279999999999999,0.982,0.9416498993963782
ENSG00000081041,0.742,0.854,0.4620253164556962
ENSG00000081138,0.46199999999999997,0.6839999999999999,0.5124481327800829
ENSG00000082126,0.8,0.9179999999999999,0.8012295081967213
ENSG00000082397,0.51,0.7,0.7434343434343434
ENSG00000082497,0.236,0.10799999999999998,0.11222444889779548
ENSG00000083067,0.74,0.944,0.31991951710261557
ENSG00000083720,0.0,0.0,0.010224948875255713
ENSG00000084444,0.16199999999999992,0.4079999999999999,0.16869918699186992
ENSG00000084628,0.8280000000000001,0.864,0.8472505091649695
ENSG00000084734,0.20999999999999996,0.42000000000000004,0.1859956236323852
ENSG00000085265,0.916,0.836,0.6945010183299389
ENSG00000086159,0.6699999999999999,0.854,0.6666666666666666
ENSG00000086717,0.6279999999999999,0.626,0.7832310838445807
ENSG00000087191,0.394,0.08799999999999997,0.3182751540041068
ENSG00000087302,0.06999999999999995,0.07199999999999984,0.014492753623188248
ENSG00000087589,0.26,0.5359999999999999,0.2963709677419355
ENSG00000088881,0.548,0.856,0.5313131313131314
ENSG00000088992,0.802,0.904,0.5644171779141105
ENSG00000089101,0.028000000000000025,0.08799999999999997,0.015384615384615441
ENSG00000089199,0.1459999999999999,0.33599999999999997,0.21095334685598377
ENSG00000089692,0.11399999999999988,0.24,0.09799999999999998
