,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
0,R-HSA-388396,GPCR downstream signalling,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16755;CHEBI:16359;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.08302505406773794
1,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16556,"['Q11201', 'Q11206']",,0.06999440296366766
2,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:17659,['P51654'],,0.06999440296366766
3,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16264,['P51654'],,0.06999440296366766
4,R-HSA-212165,Epigenetic regulation of gene expression,CHEBI:16680,"['O00422', 'Q9UBC3', 'Q9BTM1']",,0.04434095336099802
5,R-HSA-212436,Generic Transcription Pathway,CHEBI:16680,['Q9BTM1'],,0.003569768775893693
6,R-HSA-1280218,Adaptive Immune System,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.003569768775893693
7,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:17659,['P51654'],,0.06999440296366766
8,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:16264,['P51654'],,0.06999440296366766
9,R-HSA-74160,Gene expression (Transcription),CHEBI:16027,['O00268'],,0.05820438374348124
10,R-HSA-74160,Gene expression (Transcription),CHEBI:16680,"['O00422', 'Q9Y2W6', 'Q9UBC3', 'Q9BTM1']",,0.05820438374348124
11,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16556,"['Q11201', 'Q969X2', 'Q11206']",,0.06094158168644338
12,R-HSA-71387,Metabolism of carbohydrates,CHEBI:17659,"['O15488', 'P51654']",,0.06094158168644338
13,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16264,['P51654'],,0.06094158168644338
14,R-HSA-73857,RNA Polymerase II Transcription,CHEBI:16027,['O00268'],,0.09653707106266711
15,R-HSA-73857,RNA Polymerase II Transcription,CHEBI:16680,['Q9BTM1'],,0.09653707106266711
16,R-HSA-418555,G alpha (s) signalling events,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:15555;CHEBI:16325;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.040141876055670433
17,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.04434095336099802
18,R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.04434095336099802
19,R-HSA-372790,Signaling by GPCR,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18397;CHEBI:18243;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.04434095336099802
20,R-HSA-168256,Immune System,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'P05161', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.0003097912126718283
21,R-HSA-446203,Asparagine N-linked glycosylation,CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.050622554542706866
22,R-HSA-446203,Asparagine N-linked glycosylation,CHEBI:4208,['Q9BV94'],,0.050622554542706866
23,R-HSA-8953854,Metabolism of RNA,CHEBI:16027,"['Q96S44', 'Q9NQT4', 'P11940', 'Q14657']",,0.09473626592062266
24,R-HSA-8953854,Metabolism of RNA,CHEBI:17345,['Q9NQT4'],,0.09473626592062266
25,R-HSA-983169,Class I MHC mediated antigen processing & presentation,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.005271343893082203
