,q-value,p-value
ENSG00000000003,0.9466829122741662,0.17755506695627876
ENSG00000000005,0.9466829122741662,0.15315922674967153
ENSG00000000419,0.9466829122741662,0.11897253309497968
ENSG00000000457,0.9712661381878878,0.5256590990468925
ENSG00000000460,0.9466829122741662,0.10745602877073346
ENSG00000000938,0.9745817963592145,0.5676073436223636
ENSG00000000971,0.9999823040147895,0.8934895742878339
ENSG00000001036,0.9975475747704668,0.7114450262389445
ENSG00000001084,0.9466829122741662,0.18153692208070116
ENSG00000001167,0.9994591205871648,0.7416861645343882
ENSG00000001460,0.9466829122741662,0.30358894552417603
ENSG00000001461,0.9466829122741662,0.22156346473786803
ENSG00000001497,0.9466829122741662,0.06919849282276469
ENSG00000001561,0.9999823040147895,0.864468185972106
ENSG00000001617,0.9466829122741662,0.22417568122212583
ENSG00000001626,0.9561063389273255,0.384927460010278
ENSG00000001629,0.973671789177575,0.55778951583024
ENSG00000001630,0.9999823040147895,0.9359673590681352
ENSG00000001631,0.9999823040147895,0.9356991580802175
ENSG00000002016,0.9721275826284803,0.5319143272481272
ENSG00000002079,0.9567317454842583,0.4071699432931879
ENSG00000002330,0.9561063389273255,0.38856018516094915
ENSG00000002549,0.9466829122741662,0.05757516392315443
ENSG00000002586,0.9500222514840044,0.33808530073465537
ENSG00000002587,0.9466829122741662,0.23181954525558524
ENSG00000002726,0.9466829122741662,0.14349286090019386
ENSG00000002745,0.9999823040147895,0.846624465701349
ENSG00000002746,0.9999823040147895,0.8251074074365242
ENSG00000002822,0.9999823040147895,0.8931983828785857
ENSG00000002834,0.9669026847362721,0.5031911568998912
ENSG00000002919,0.9625079209997823,0.4474020893748297
ENSG00000002933,0.9466829122741662,0.0708284503776827
ENSG00000003056,0.9999823040147895,0.7928736357473979
ENSG00000003096,0.9466829122741662,0.1614519730397933
ENSG00000003137,0.9999823040147895,0.9115768882551538
ENSG00000003147,0.999653843259551,0.7466667852347745
ENSG00000003249,0.9999823040147895,0.8323025522358625
ENSG00000003393,0.9466829122741662,0.07879366013188371
ENSG00000003400,0.9548911508430401,0.3814477916893091
ENSG00000003402,0.9999823040147895,0.8126876965972986
ENSG00000003436,0.9669026847362721,0.5020951070848909
