,discarded,continuous,sigmoid
0,ENSG00000172782,ENSG00000030419,ENSG00000269155
1,ENSG00000188338,ENSG00000261801,ENSG00000171811
2,ENSG00000168631,ENSG00000101624,ENSG00000138100
3,ENSG00000116711,ENSG00000196730,ENSG00000114473
4,ENSG00000134504,ENSG00000268516,ENSG00000251493
5,ENSG00000214049,ENSG00000141380,ENSG00000181652
6,ENSG00000085741,ENSG00000101850,ENSG00000262188
7,ENSG00000237732,ENSG00000170921,ENSG00000183145
8,ENSG00000107159,ENSG00000257176,ENSG00000170537
9,ENSG00000137251,ENSG00000224511,ENSG00000224594
10,ENSG00000230563,ENSG00000096968,ENSG00000225953
11,ENSG00000068784,ENSG00000111860,ENSG00000002933
12,ENSG00000171877,ENSG00000160951,ENSG00000159147
13,ENSG00000186564,ENSG00000198221,ENSG00000183850
14,ENSG00000227359,ENSG00000154310,ENSG00000160862
15,ENSG00000102445,ENSG00000231784,ENSG00000206838
16,ENSG00000148426,ENSG00000271824,ENSG00000162882
17,ENSG00000138735,ENSG00000169242,ENSG00000132199
18,ENSG00000259321,ENSG00000158480,ENSG00000133943
19,ENSG00000173930,ENSG00000170827,ENSG00000230316
20,ENSG00000178821,ENSG00000060566,ENSG00000137203
21,ENSG00000101639,ENSG00000057593,ENSG00000165828
22,ENSG00000112773,ENSG00000073060,ENSG00000246465
23,ENSG00000133131,ENSG00000145824,ENSG00000253958
24,ENSG00000069764,ENSG00000167996,ENSG00000197408
25,ENSG00000164070,ENSG00000109321,ENSG00000086548
26,ENSG00000134049,ENSG00000242372,ENSG00000163501
27,ENSG00000168065,ENSG00000033170,ENSG00000172818
28,ENSG00000244405,ENSG00000236772,ENSG00000273183
29,ENSG00000198807,ENSG00000174332,ENSG00000187984
30,ENSG00000164825,ENSG00000151490,ENSG00000204991
31,ENSG00000246705,ENSG00000213937,ENSG00000128610
32,ENSG00000109794,ENSG00000118705,ENSG00000235043
33,ENSG00000185880,ENSG00000145349,ENSG00000166750
34,ENSG00000250829,ENSG00000271851,ENSG00000203995
35,ENSG00000112414,ENSG00000120685,ENSG00000172831
36,ENSG00000091138,ENSG00000147454,ENSG00000067057
37,ENSG00000165548,ENSG00000156966,ENSG00000188372
38,ENSG00000101773,ENSG00000198353,ENSG00000175600
39,ENSG00000181392,ENSG00000109101,ENSG00000179918
40,ENSG00000131015,ENSG00000131620,ENSG00000110195
41,ENSG00000217447,ENSG00000272945,ENSG00000077713
42,ENSG00000104059,ENSG00000265943,ENSG00000183773
43,ENSG00000113889,ENSG00000104899,ENSG00000174521
44,ENSG00000180758,ENSG00000101558,ENSG00000268756
45,ENSG00000118298,ENSG00000236155,ENSG00000164626
46,ENSG00000114113,ENSG00000101057,ENSG00000181291
47,ENSG00000177738,ENSG00000204386,ENSG00000136943
48,ENSG00000164484,ENSG00000183734,ENSG00000101464
49,ENSG00000168447,ENSG00000142609,ENSG00000168237
50,ENSG00000198756,ENSG00000104870,ENSG00000142959
51,ENSG00000137171,ENSG00000178093,ENSG00000120149
52,ENSG00000092470,ENSG00000272549,ENSG00000007216
53,ENSG00000185915,ENSG00000106384,ENSG00000101342
54,ENSG00000223534,ENSG00000171314,ENSG00000088325
55,ENSG00000139219,ENSG00000240024,ENSG00000223813
56,ENSG00000197818,ENSG00000099834,ENSG00000226284
57,ENSG00000180316,ENSG00000141446,ENSG00000197208
58,ENSG00000170293,ENSG00000163995,ENSG00000198881
59,ENSG00000186094,,ENSG00000251667
60,ENSG00000125337,,ENSG00000243007
61,ENSG00000101473,,ENSG00000183831
62,ENSG00000279982,,ENSG00000166828
63,ENSG00000124469,,ENSG00000225889
64,ENSG00000165521,,ENSG00000178015
65,ENSG00000103485,,ENSG00000043591
66,ENSG00000172482,,ENSG00000105388
67,ENSG00000198732,,ENSG00000160867
68,ENSG00000125931,,ENSG00000198846
69,ENSG00000137198,,ENSG00000278238
70,ENSG00000108244,,ENSG00000280331
71,ENSG00000101084,,ENSG00000114859
72,ENSG00000230330,,ENSG00000182240
73,ENSG00000112208,,ENSG00000186115
74,ENSG00000254290,,ENSG00000137563
75,ENSG00000175387,,ENSG00000078043
76,ENSG00000178127,,ENSG00000265681
77,ENSG00000272502,,ENSG00000104756
78,ENSG00000187017,,ENSG00000164920
79,ENSG00000257671,,ENSG00000187193
80,ENSG00000260704,,ENSG00000165810
81,ENSG00000154889,,ENSG00000273523
82,ENSG00000148734,,ENSG00000170017
83,ENSG00000205181,,ENSG00000257556
84,ENSG00000270170,,ENSG00000226624
85,ENSG00000229314,,ENSG00000049130
86,ENSG00000101470,,ENSG00000186204
87,ENSG00000100593,,ENSG00000278576
88,ENSG00000233503,,ENSG00000214192
89,ENSG00000164675,,ENSG00000212993
90,ENSG00000205277,,ENSG00000036672
91,ENSG00000147804,,ENSG00000276476
92,ENSG00000254503,,ENSG00000119042
93,ENSG00000253844,,ENSG00000091640
94,ENSG00000129048,,ENSG00000257322
95,ENSG00000071575,,ENSG00000100600
96,ENSG00000180767,,ENSG00000184984
97,ENSG00000101076,,ENSG00000189077
98,ENSG00000083720,,ENSG00000180801
99,,,ENSG00000258483
100,,,ENSG00000189280
101,,,ENSG00000257512
102,,,ENSG00000125998
103,,,ENSG00000107105
104,,,ENSG00000146521
105,,,ENSG00000176945
106,,,ENSG00000280079
107,,,ENSG00000250295
108,,,ENSG00000111674
