,discarded,continuous,sigmoid
0,ENSG00000102445,ENSG00000172782,ENSG00000228709
1,ENSG00000137198,ENSG00000188338,ENSG00000168779
2,ENSG00000229314,ENSG00000173080,ENSG00000206838
3,ENSG00000112208,ENSG00000145824,ENSG00000273523
4,ENSG00000104059,ENSG00000109321,ENSG00000196353
5,ENSG00000168447,ENSG00000205277,ENSG00000186407
6,ENSG00000116711,ENSG00000254503,ENSG00000089692
7,ENSG00000198807,ENSG00000181392,ENSG00000162946
8,ENSG00000101473,ENSG00000272549,ENSG00000135679
9,ENSG00000185915,ENSG00000224511,ENSG00000136231
10,ENSG00000101470,ENSG00000213937,ENSG00000188064
11,ENSG00000168631,ENSG00000261801,ENSG00000115507
12,ENSG00000033170,ENSG00000265943,ENSG00000170627
13,ENSG00000107159,ENSG00000170827,ENSG00000175874
14,ENSG00000279982,ENSG00000142609,ENSG00000078177
15,ENSG00000131015,ENSG00000257176,ENSG00000132199
16,ENSG00000164070,ENSG00000015413,ENSG00000212371
17,ENSG00000230563,ENSG00000100593,ENSG00000187323
18,ENSG00000186094,ENSG00000187017,ENSG00000172831
19,ENSG00000205181,ENSG00000257671,ENSG00000166106
20,ENSG00000091138,ENSG00000101850,ENSG00000138100
21,ENSG00000250829,ENSG00000057593,ENSG00000137441
22,ENSG00000198732,ENSG00000131620,ENSG00000213199
23,ENSG00000113889,ENSG00000104899,ENSG00000230316
24,ENSG00000125931,,ENSG00000170122
25,ENSG00000111860,,ENSG00000165810
26,ENSG00000109794,,ENSG00000128610
27,ENSG00000103485,,ENSG00000221887
28,ENSG00000154310,,ENSG00000257322
29,ENSG00000114113,,ENSG00000145632
30,ENSG00000134504,,ENSG00000170396
31,ENSG00000148734,,ENSG00000185674
32,ENSG00000108244,,ENSG00000177000
33,ENSG00000170921,,ENSG00000173208
34,,,ENSG00000197444
35,,,ENSG00000168502
36,,,ENSG00000169860
37,,,ENSG00000089101
38,,,ENSG00000225886
39,,,ENSG00000144214
40,,,ENSG00000135111
41,,,ENSG00000147257
42,,,ENSG00000136943
43,,,ENSG00000142733
44,,,ENSG00000104756
45,,,ENSG00000002933
46,,,ENSG00000276476
47,,,ENSG00000171811
48,,,ENSG00000080561
49,,,ENSG00000175985
50,,,ENSG00000145860
51,,,ENSG00000235370
52,,,ENSG00000163501
53,,,ENSG00000164920
54,,,ENSG00000082497
55,,,ENSG00000166664
56,,,ENSG00000221926
57,,,ENSG00000235884
58,,,ENSG00000183145
59,,,ENSG00000123338
60,,,ENSG00000204740
61,,,ENSG00000170017
62,,,ENSG00000133943
63,,,ENSG00000007216
64,,,ENSG00000198846
65,,,ENSG00000187193
66,,,ENSG00000182742
67,,,ENSG00000221818
68,,,ENSG00000125848
69,,,ENSG00000055732
70,,,ENSG00000150783
71,,,ENSG00000100342
72,,,ENSG00000197408
73,,,ENSG00000177575
74,,,ENSG00000167772
75,,,ENSG00000165935
76,,,ENSG00000172602
77,,,ENSG00000229950
78,,,ENSG00000226496
79,,,ENSG00000134324
80,,,ENSG00000174502
81,,,ENSG00000149289
82,,,ENSG00000127585
83,,,ENSG00000133985
84,,,ENSG00000214290
85,,,ENSG00000060709
86,,,ENSG00000134574
87,,,ENSG00000134317
88,,,ENSG00000229153
89,,,ENSG00000139364
90,,,ENSG00000064652
91,,,ENSG00000163053
92,,,ENSG00000174521
93,,,ENSG00000164136
94,,,ENSG00000243007
95,,,ENSG00000183831
96,,,ENSG00000120875
97,,,ENSG00000154856
98,,,ENSG00000107831
99,,,ENSG00000128683
100,,,ENSG00000164764
101,,,ENSG00000103253
102,,,ENSG00000205129
103,,,ENSG00000064218
104,,,ENSG00000212993
105,,,ENSG00000262188
106,,,ENSG00000127124
107,,,ENSG00000241112
108,,,ENSG00000163629
109,,,ENSG00000198133
110,,,ENSG00000230606
111,,,ENSG00000228526
112,,,ENSG00000166501
113,,,ENSG00000184492
114,,,ENSG00000246223
115,,,ENSG00000178015
116,,,ENSG00000151025
117,,,ENSG00000280331
118,,,ENSG00000144355
119,,,ENSG00000104327
120,,,ENSG00000144230
121,,,ENSG00000178776
122,,,ENSG00000120149
123,,,ENSG00000188818
124,,,ENSG00000127955
125,,,ENSG00000167912
126,,,ENSG00000182240
127,,,ENSG00000111674
128,,,ENSG00000146521
129,,,ENSG00000125998
130,,,ENSG00000258483
131,,,ENSG00000280079
132,,,ENSG00000043591
133,,,ENSG00000137203
134,,,ENSG00000189280
135,,,ENSG00000257512
136,,,ENSG00000107105
137,,,ENSG00000180801
