,sigmoid,discarded,continuous
0,VWA1_1,ISG15_2,TNFRSF18_1
1,RNF207_1,PRKCZ_1,CDK11A_1
2,ERRFI1_1,KLHL21_1,SKI_1
3,LZIC_1,CASZ1_1,PRDM16_1
4,CAMK2N1_1,MFN2_2,PER3_2
5,NCMAP_1,RAP1GAP_1,GPR157_1
6,UBXN11_1,HDAC1_1,LZIC_2
7,GPR3_1,B4GALT2_2,KIAA2013_1
8,EPB41_1,ZNF644_1,ATP13A2_1
9,FABP3_1,ATP5F1_1,PADI4_1
10,BSDC1_1,GBA_1,NBL1_3
11,MAP7D1_2,MPZL1_1,TMCO4_1
12,ZC3H12A_1,KIAA0040_2,RAP1GAP_3
13,ZFP69B_1,BRINP2_1,LYPLA2_1
14,HIVEP3_1,CACNA1E_2,MYOM3_1
15,CCDC30_1,FAM84A_1,CLIC4_1
16,ACADM_2,AGPS_1,GPN2_1
17,DNAJB4_1,PMS1_2,TRNP1_2
18,ZNF644_3,SATB2_1,TMEM222_1
19,AMIGO1_1,OXTR_2,YTHDF2_2
20,DRAM2_1,EOMES_1,CCDC28B_1
21,POLR3GL_1,PLXNB1_2,TSSK3_2
22,ACP6_2,PLXNB1_3,RNF19B_1
23,SLC39A1_1,CLDND1_1,KIAA0319L_1
24,CRTC2_3,FAIM_1,C1orf122_2
25,CREB3L4_3,DVL3_1,YRDC_1
26,RAB13_1,PIGZ_1,CAP1_2
27,ARHGEF2_1,CC2D2A_2,HIVEP3_3
28,SSR2_1,KLHL5_3,GUCA2A_1
29,DUSP12_1,RUFY3_2,C1orf210_2
30,CEP350_3,FRAS1_1,ARTN_1
31,CEP350_1,PAPSS1_2,TMEM53_1
32,PTGS2_1,C4orf27_1,MUTYH_2
33,ADORA1_2,PAIP1_1,CYP4B1_1
34,CR2_1,SMIM15_1,ZCCHC11_1
35,TGFB2_1,KIF2A_1,PARS2_1
36,JMJD4_1,SGTB_1,PRKAA2_1
37,CEP170_2,NDFIP1_2,TM2D1_2
