,go_name,table,oddsr,p,q
GO:0000002,mitochondrial genome maintenance,"[[2, 798], [0, 1218]]",inf,0.15703979012880112,0.9395003623125666
GO:0000003,reproduction,"[[3, 797], [0, 1218]]",inf,0.06216158359265044,0.9395003623125666
GO:0000012,single strand break repair,"[[3, 797], [0, 1218]]",inf,0.06216158359265044,0.9395003623125666
GO:0000017,alpha-glucoside transport,"[[4, 796], [0, 1218]]",inf,0.02458698864682005,0.9395003623125666
GO:0000018,regulation of DNA recombination,"[[5, 795], [0, 1218]]",inf,0.009717598293380715,0.9395003623125666
GO:0000019,regulation of mitotic recombination,"[[6, 794], [1, 1217]]",9.196473551637279,0.01777748135997109,0.9395003623125666
GO:0000022,mitotic spindle elongation,"[[6, 794], [1, 1217]]",9.196473551637279,0.01777748135997109,0.9395003623125666
GO:0000023,maltose metabolic process,"[[7, 793], [1, 1217]]",10.742749054224465,0.007935599318846784,0.9395003623125666
GO:0000025,maltose catabolic process,"[[7, 793], [1, 1217]]",10.742749054224465,0.007935599318846784,0.9395003623125666
GO:0000027,ribosomal large subunit assembly,"[[7, 793], [2, 1216]]",5.366960907944515,0.033992509360054636,0.9395003623125666
GO:0000028,ribosomal small subunit assembly,"[[7, 793], [3, 1215]]",3.5750315258511978,0.05804726303880637,0.9395003623125666
GO:0000038,very long-chain fatty acid metabolic process,"[[10, 790], [3, 1215]]",5.1265822784810124,0.008448965582115057,0.9395003623125666
GO:0000045,autophagosome assembly,"[[11, 789], [7, 1211]]",2.41191381495564,0.08770864817228466,0.9395003623125666
GO:0000050,urea cycle,"[[11, 789], [8, 1210]]",2.108681875792142,0.15528232330359612,0.9395003623125666
GO:0000052,citrulline metabolic process,"[[11, 789], [9, 1209]]",1.87283481199831,0.17303278324454385,0.9395003623125666
GO:0000053,argininosuccinate metabolic process,"[[11, 789], [9, 1209]]",1.87283481199831,0.17303278324454385,0.9395003623125666
GO:0000054,ribosomal subunit export from nucleus,"[[11, 789], [10, 1208]]",1.6841571609632446,0.2647663604589767,1.0
GO:0000055,ribosomal large subunit export from nucleus,"[[11, 789], [10, 1208]]",1.6841571609632446,0.2647663604589767,1.0
GO:0000056,ribosomal small subunit export from nucleus,"[[11, 789], [10, 1208]]",1.6841571609632446,0.2647663604589767,1.0
GO:0000070,mitotic sister chromatid segregation,"[[12, 788], [10, 1208]]",1.8395939086294417,0.1883955874417444,0.9395003623125666
GO:0000076,DNA replication checkpoint signaling,"[[12, 788], [10, 1208]]",1.8395939086294417,0.1883955874417444,0.9395003623125666
GO:0000077,DNA damage checkpoint signaling,"[[14, 786], [13, 1205]]",1.6510080250538266,0.23469292195944308,1.0
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,"[[16, 784], [16, 1202]]",1.5331632653061225,0.2744859774041979,1.0
