,go_name,table,oddsr,p,q
GO:0000722,telomere maintenance via recombination,"[[19, 132], [234, 1633]]",1.0045001295001295,1.0,1.0
GO:0000731,DNA synthesis involved in DNA repair,"[[20, 131], [247, 1620]]",1.0013289241895107,1.0,1.0
GO:0000732,strand displacement,"[[20, 131], [247, 1620]]",1.0013289241895107,1.0,1.0
GO:0000902,cell morphogenesis,"[[21, 130], [255, 1612]]",1.0211764705882354,0.902238348944997,1.0
GO:0000904,cell morphogenesis involved in differentiation,"[[21, 130], [255, 1612]]",1.0211764705882354,0.902238348944997,1.0
GO:0000915,actomyosin contractile ring assembly,"[[21, 130], [255, 1612]]",1.0211764705882354,0.902238348944997,1.0
GO:0000916,actomyosin contractile ring contraction,"[[21, 130], [255, 1612]]",1.0211764705882354,0.902238348944997,1.0
GO:0000917,division septum assembly,"[[21, 130], [255, 1612]]",1.0211764705882354,0.902238348944997,1.0
GO:0000921,septin ring assembly,"[[21, 130], [255, 1612]]",1.0211764705882354,0.902238348944997,1.0
GO:0000956,nuclear-transcribed mRNA catabolic process,"[[21, 130], [256, 1611]]",1.0165564903846154,0.9025543261729174,1.0
GO:0000957,mitochondrial RNA catabolic process,"[[21, 130], [256, 1611]]",1.0165564903846154,0.9025543261729174,1.0
GO:0000958,mitochondrial mRNA catabolic process,"[[21, 130], [256, 1611]]",1.0165564903846154,0.9025543261729174,1.0
GO:0000959,mitochondrial RNA metabolic process,"[[21, 130], [256, 1611]]",1.0165564903846154,0.9025543261729174,1.0
GO:0000961,negative regulation of mitochondrial RNA catabolic process,"[[21, 130], [256, 1611]]",1.0165564903846154,0.9025543261729174,1.0
GO:0000962,positive regulation of mitochondrial RNA catabolic process,"[[21, 130], [256, 1611]]",1.0165564903846154,0.9025543261729174,1.0
GO:0000963,mitochondrial RNA processing,"[[21, 130], [257, 1610]]",1.011972463334331,0.9029009998452158,1.0
GO:0000964,mitochondrial RNA 5'-end processing,"[[21, 130], [257, 1610]]",1.011972463334331,0.9029009998452158,1.0
GO:0000965,mitochondrial RNA 3'-end processing,"[[21, 130], [257, 1610]]",1.011972463334331,0.9029009998452158,1.0
GO:0000971,"tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate","[[21, 130], [257, 1610]]",1.011972463334331,0.9029009998452158,1.0
GO:0000972,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,"[[21, 130], [258, 1609]]",1.0074239713774598,1.0,1.0
GO:0000973,post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery,"[[21, 130], [259, 1608]]",1.002910602910603,1.0,1.0
GO:0001080,nitrogen catabolite activation of transcription from RNA polymerase II promoter,"[[21, 130], [259, 1608]]",1.002910602910603,1.0,1.0
GO:0001100,negative regulation of exit from mitosis,"[[21, 130], [259, 1608]]",1.002910602910603,1.0,1.0
GO:0001525,angiogenesis,"[[27, 124], [326, 1541]]",1.029264793192163,0.9113196257815093,1.0
GO:0001541,ovarian follicle development,"[[27, 124], [331, 1536]]",1.010427833544489,1.0,1.0
GO:0001542,ovulation from ovarian follicle,"[[27, 124], [331, 1536]]",1.010427833544489,1.0,1.0
GO:0001543,ovarian follicle rupture,"[[27, 124], [331, 1536]]",1.010427833544489,1.0,1.0
GO:0001544,initiation of primordial ovarian follicle growth,"[[27, 124], [332, 1535]]",1.006728527011271,1.0,1.0
GO:0001545,primary ovarian follicle growth,"[[27, 124], [333, 1534]]",1.0030514385353095,1.0,1.0
GO:0001546,preantral ovarian follicle growth,"[[27, 124], [333, 1534]]",1.0030514385353095,1.0,1.0
GO:0001547,antral ovarian follicle growth,"[[27, 124], [333, 1534]]",1.0030514385353095,1.0,1.0
GO:0001549,cumulus cell differentiation,"[[27, 124], [333, 1534]]",1.0030514385353095,1.0,1.0
GO:0001558,regulation of cell growth,"[[28, 123], [343, 1524]]",1.011448481831757,0.9134856685558548,1.0
GO:0001560,regulation of cell growth by extracellular stimulus,"[[28, 123], [344, 1523]]",1.0078464738135753,1.0,1.0
GO:0001561,fatty acid alpha-oxidation,"[[28, 123], [345, 1522]]",1.004265347001296,1.0,1.0
GO:0001562,response to protozoan,"[[28, 123], [345, 1522]]",1.004265347001296,1.0,1.0
GO:0001843,neural tube closure,"[[38, 113], [466, 1401]]",1.0110144707356907,1.0,1.0
GO:0001844,protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,"[[38, 113], [466, 1401]]",1.0110144707356907,1.0,1.0
GO:0001845,phagolysosome assembly,"[[38, 113], [466, 1401]]",1.0110144707356907,1.0,1.0
GO:0001865,NK T cell differentiation,"[[38, 113], [466, 1401]]",1.0110144707356907,1.0,1.0
GO:0001866,NK T cell proliferation,"[[38, 113], [466, 1401]]",1.0110144707356907,1.0,1.0
GO:0001867,"complement activation, lectin pathway","[[38, 113], [468, 1399]]",1.0052567884426291,1.0,1.0
GO:0001869,"negative regulation of complement activation, lectin pathway","[[38, 113], [468, 1399]]",1.0052567884426291,1.0,1.0
GO:0001878,response to yeast,"[[38, 113], [468, 1399]]",1.0052567884426291,1.0,1.0
GO:0001879,detection of yeast,"[[38, 113], [468, 1399]]",1.0052567884426291,1.0,1.0
GO:0001880,Mullerian duct regression,"[[38, 113], [468, 1399]]",1.0052567884426291,1.0,1.0
GO:0001916,positive regulation of T cell mediated cytotoxicity,"[[39, 112], [482, 1385]]",1.00057424422051,1.0,1.0
GO:0001919,regulation of receptor recycling,"[[39, 112], [482, 1385]]",1.00057424422051,1.0,1.0
GO:0001920,negative regulation of receptor recycling,"[[39, 112], [482, 1385]]",1.00057424422051,1.0,1.0
GO:0006260,DNA replication,"[[59, 92], [708, 1159]]",1.0498188405797102,0.7940769854422804,1.0
