,species,genus
17,Methylophilus_methylotrophus,Methylophilus
65552,Meiothermus_cerbereus,Meiothermus
24,Shewanella_putrefaciens,Shewanella
51,Chondromyces_apiculatus,Chondromyces
180282,Delftia_tsuruhatensis,Delftia
69,Lysobacter_enzymogenes,Lysobacter
180332,Robinsoniella_peoriensis,Robinsoniella
475254,Pedobacter_borealis,Pedobacter
49338,Desulfitobacterium_hafniense,Desulfitobacterium
1671366,Ruminococcus_sp._DSM_100440,Ruminococcus
228,Pseudoalteromonas_haloplanktis,Pseudoalteromonas
33011,Cutibacterium_granulosum,Cutibacterium
65786,Hydrogenophaga_intermedia,Hydrogenophaga
254,Chryseobacterium_indoltheticum,Chryseobacterium
147709,Carnobacterium_inhibens,Carnobacterium
33033,Parvimonas_micra,Parvimonas
33038,[Ruminococcus]_gnavus,[Ruminococcus]
33039,[Ruminococcus]_torques,[Ruminococcus]
33043,Coprococcus_eutactus,Coprococcus
33051,Sphingomonas_sanguinis,Sphingomonas
285,Comamonas_testosteroni,Comamonas
287,Pseudomonas_aeruginosa,Pseudomonas
292,Burkholderia_cepacia,Burkholderia
293,Brevundimonas_diminuta,Brevundimonas
294,Pseudomonas_fluorescens,Pseudomonas
300,Pseudomonas_mendocina,Pseudomonas
33069,Pseudomonas_viridiflava,Pseudomonas
303,Pseudomonas_putida,Pseudomonas
305,Ralstonia_solanacearum,Ralstonia
316,Pseudomonas_stutzeri,Pseudomonas
317,Pseudomonas_syringae,Pseudomonas
329,Ralstonia_pickettii,Ralstonia
346,Xanthomonas_citri,Xanthomonas
360807,Roseburia_inulinivorans,Roseburia
98672,Arthrobacter_luteolus,Arthrobacter
408,Methylobacterium_extorquens,Methylobacterium
414,Methylococcus_capsulatus,Methylococcus
415,Methylobacter_luteus,Methylobacter
426,Methylosinus_trichosporium,Methylosinus
438,Acetobacter_pasteurianus,Acetobacter
446,Legionella_pneumophila,Legionella
360911,Exiguobacterium_sp._AT1b,Exiguobacterium
470,Acinetobacter_baumannii,Acinetobacter
471,Acinetobacter_calcoaceticus,Acinetobacter
476,Moraxella_bovis,Moraxella
410072,Coprococcus_comes,Coprococcus
511,Alcaligenes_faecalis,Alcaligenes
246272,Bacillus_bogoriensis,Bacillus
518,Bordetella_bronchiseptica,Bordetella
546,Citrobacter_freundii,Citrobacter
548,Klebsiella_aerogenes,Klebsiella
549,Pantoea_agglomerans,Pantoea
550,Enterobacter_cloacae,Enterobacter
553,Pantoea_ananatis,Pantoea
562,Escherichia_coli,Escherichia
563,Shimwellia_blattae,Shimwellia
571,Klebsiella_oxytoca,Klebsiella
573,Klebsiella_pneumoniae,Klebsiella
582,Morganella_morganii,Morganella
584,Proteus_mirabilis,Proteus
585,Proteus_vulgaris,Proteus
587,Providencia_rettgeri,Providencia
588,Providencia_stuartii,Providencia
621,Shigella_boydii,Shigella
623,Shigella_flexneri,Shigella
628,Xenorhabdus_nematophila,Xenorhabdus
632,Yersinia_pestis,Yersinia
644,Aeromonas_hydrophila,Aeromonas
645,Aeromonas_salmonicida,Aeromonas
654,Aeromonas_veronii,Aeromonas
66219,Lachnoclostridium_phytofermentans,Lachnoclostridium
703,Plesiomonas_shigelloides,Plesiomonas
393921,Porphyromonas_crevioricanis,Porphyromonas
716,Actinobacillus_suis,Actinobacillus
727,Haemophilus_influenzae,Haemophilus
730,[Haemophilus]_ducreyi,[Haemophilus]
66269,Pantoea_stewartii,Pantoea
738,[Haemophilus]_parasuis,[Haemophilus]
747,Pasteurella_multocida,Pasteurella
817,Bacteroides_fragilis,Bacteroides
818,Bacteroides_thetaiotaomicron,Bacteroides
820,Bacteroides_uniformis,Bacteroides
821,Bacteroides_vulgatus,Bacteroides
823,Parabacteroides_distasonis,Parabacteroides
837,Porphyromonas_gingivalis,Porphyromonas
839,Prevotella_ruminicola,Prevotella
840,Prevotella_loescheii,Prevotella
