,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
47,R-HSA-418555,G alpha (s) signalling events,CHEBI:16027,"O00408, Q08499, Q9Y233",,0.0
13,R-HSA-1280215,Cytokine Signaling in Immune system,CHEBI:16027,"P20592, P20591, P05161, P19174, P41226",,0.19236109049668804
50,R-HSA-74160,Gene expression (Transcription),CHEBI:16027,"P51948, P36954, Q15543, O00268, P52655, Q12962, Q92750, P62487",,0.17904694701185248
20,R-HSA-6782315,tRNA modification in the nucleus and cytosol,CHEBI:16027,"Q14657, Q96S44",,0.053167469875649576
5,R-HSA-168256,Immune System,CHEBI:16027,"Q17RB8, Q13049, Q9Y385, Q8N461, Q14999, Q05086, Q9Y508, Q9Y6I7, Q9NYG5, Q8WXK3, Q8WVD3, P30260, Q8IYU2, Q9BSL1, Q8NI29, P20591, Q8IWV8, Q9UJT9, Q9H832, Q9H0C5, Q8IVU3, P61077, Q8TDB6, Q5XUX1, P49427, Q9ULT8, Q9NXK8, Q15034, P20592, Q7L5Y6, Q86WT6, O43164, O95198, Q9H4M3, Q7Z419, Q8N1E6, P05161, Q86V97, Q8IWV7, P19174, P41226, Q8TC41, Q9P2P5",,0.07106662587536139
39,R-HSA-983169,Class I MHC mediated antigen processing & presentation,CHEBI:16027,"Q17RB8, Q13049, Q9Y385, Q8N461, Q14999, Q05086, Q9Y508, Q9Y6I7, Q9NYG5, Q8WXK3, Q8WVD3, P30260, Q8IYU2, Q9BSL1, Q8NI29, Q8IWV8, Q9UJT9, Q9H832, Q9H0C5, Q8IVU3, P61077, Q8TDB6, Q5XUX1, P49427, Q9ULT8, Q9NXK8, Q15034, Q7L5Y6, Q86WT6, O43164, O95198, Q9H4M3, Q7Z419, Q8N1E6, Q86V97, Q8IWV7, P41226, Q8TC41, Q9P2P5",,0.034034600804332404
45,R-HSA-72306,tRNA processing,CHEBI:16027,"Q8IWT0, Q52LJ0, Q14657, Q96S44",,0.1361304850353237
7,R-HSA-597592,Post-translational protein modification,CHEBI:16027,Q9UBE0,,0.15293773554959056
21,R-HSA-392499,Metabolism of proteins,CHEBI:16027,"Q9UBE0, P23381, Q5JPH6, P47897, Q7L3T8, Q9HA77",,0.1822024669012416
38,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:16264,P78333,,0.18350757686378222
19,R-HSA-1638074,Keratan sulfate/keratin metabolism,CHEBI:16264,"Q9Y2A9, Q8NFL0, P20774",,0.13330656103724303
16,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16264,"Q9Y2A9, Q8NFL0, P78333, P20774",,0.10310629762198492
26,R-HSA-392499,Metabolism of proteins,CHEBI:16264,"Q9Y2A9, Q8NFL0, Q7Z7M8, Q02742, Q9BYG0, Q6W4X9, Q8N307, Q02505, Q9UKN1, Q6UX72, O94777",,0.1822024669012416
36,R-HSA-5173105,O-linked glycosylation,CHEBI:16264,"Q9Y2A9, Q8NFL0, Q7Z7M8, Q02742, Q9BYG0, Q8N307, Q6W4X9, Q02505, Q9UKN1, Q6UX72",,0.15293773554959056
