ensmbl,1 p-value,2 p-value,3 p-value,sigmoidal p-value
ENSG00000002745,0.7861783960720131,0.7998854337152209,0.29306873977086734,0.9013492497162793
ENSG00000005981,0.2680114566284779,0.43047463175122747,0.5524631751227496,0.24964062040267332
ENSG00000006071,0.12937806873977076,0.3408592471358429,0.5857610474631751,0.22744735404144434
ENSG00000006377,0.23992635024549913,0.4250409165302782,0.6397545008183305,0.37038375856416295
ENSG00000009694,0.48013093289689035,0.7456055646481179,0.7890998363338789,0.8248665461729225
ENSG00000016082,0.6124140752864157,0.86120294599018,0.3277577741407528,0.7853137741162625
ENSG00000018280,0.2530441898527005,0.5278641571194762,0.7626104746317512,0.637888277079568
ENSG00000019169,0.4191980360065466,0.6264566284779051,0.8435761047463175,0.6061704005716447
ENSG00000021826,0.2661211129296235,0.43087561374795413,0.6287397708674304,0.28690681350090375
ENSG00000027644,0.5381178396072013,0.7892225859247136,0.9331178396072013,0.8437308225799672
ENSG00000028277,0.29728314238952536,0.5978396072013092,0.822569558101473,0.4497499054264218
ENSG00000033122,0.3538461538461539,0.6529950900163666,0.845278232405892,0.3311840611996133
ENSG00000033170,0.002528641571194701,0.009901800327332233,0.019991816693944342,0.06435206590727593
ENSG00000036530,0.5440589198036005,0.8234533551554828,0.8965057283142389,0.8451683409692741
ENSG00000043591,0.012765957446808418,0.003576104746317421,0.022806873977086806,0.020553991005001992
ENSG00000047617,0.35033551554828146,0.4186252045826514,0.5316202945990179,0.38084990122315165
ENSG00000050438,0.6441325695581015,0.5959819967266775,0.7113256955810148,0.5258879408179564
ENSG00000054598,0.34184124386252035,0.3927823240589198,0.5608837970540098,0.3944180572485394
ENSG00000055732,0.03909165302782314,0.15225040916530275,0.3320703764320786,0.15382287419612473
ENSG00000058404,0.9521112929623567,0.9423977086743044,0.981342062193126,0.9629691900298433
ENSG00000060656,0.6719148936170212,0.8771603927986906,0.9633306055646481,0.757689882728763
ENSG00000060709,0.22033551554828146,0.5013584288052373,0.6499181669394435,0.1663738388466227
ENSG00000063015,0.9004418985270048,0.9469558101472995,0.9902864157119476,0.9377831953259637
ENSG00000064218,0.14582651391162027,0.11373158756137469,0.030630114566284727,0.13052835105712246
ENSG00000064652,0.047160392798690665,0.16086743044189844,0.3386579378068739,0.14661846916901355
ENSG00000066405,0.14079378068739767,0.37411620294599013,0.6208183306055646,0.483787987053928
ENSG00000067048,0.6546890343698855,0.7456628477905074,0.7639770867430442,0.8756168298936573
ENSG00000067798,0.7823076923076923,0.6586252045826514,0.8614893617021276,0.47502837207347315
ENSG00000069431,0.272798690671031,0.24943535188216037,0.327962356792144,0.23062502627043846
ENSG00000069535,0.0945090016366612,0.2843126022913256,0.48371522094926345,0.3862805262494221
ENSG00000070182,0.21240589198036008,0.4883387888707038,0.7220458265139116,0.6043125551679207
ENSG00000070601,0.8378314238952537,0.9573240589198035,0.9938297872340426,0.9157748728510782
ENSG00000072182,0.905278232405892,0.9548281505728314,0.9921358428805237,
ENSG00000074211,0.36489361702127665,0.44644844517184945,0.6840016366612112,0.4105333949812955
ENSG00000077264,0.5800981996726677,0.21102291325695577,0.4204909983633387,0.3371527048043379
ENSG00000078177,0.16731587561374794,0.09399345335515552,0.11891980360065457,0.07601193728720956
ENSG00000079156,0.43514729950900166,0.30503273322422264,0.5107364975450082,0.46113236097684007
ENSG00000079215,0.27173486088379706,0.48670212765957444,0.7145090016366612,0.5309991173132698
ENSG00000079689,0.41900163666121104,0.724075286415712,0.7718903436988543,0.7296540708671346
ENSG00000080166,0.4763502454991816,0.6520540098199672,0.8547054009819968,0.8234542474044807
ENSG00000080561,0.02662847790507361,0.1007119476268411,0.24730769230769223,0.17015678197637774
ENSG00000080854,0.9062929623567921,0.9831587561374795,0.9920376432078559,0.9399688958009331
ENSG00000081041,0.6683797054009819,0.8152373158756138,0.7398772504091653,0.7319154302046993
ENSG00000081138,0.4077168576104746,0.6545335515548281,0.6176677577741407,0.7921062586692447
ENSG00000082397,0.4423567921440261,0.6844271685761047,0.8814484451718494,0.6462191585053172
ENSG00000082497,0.21466448445171848,0.11360065466448444,0.26806055646481175,0.11284099029044592
ENSG00000083067,0.7087806873977087,0.909468085106383,0.9408919803600655,0.6323063343281072
ENSG00000084734,0.20219312602291328,0.393772504091653,0.6362274959083469,0.25464251187423825
ENSG00000089101,0.01936170212765953,0.08717675941080183,0.06851882160392786,0.03376066579799086
ENSG00000089199,0.1377168576104747,0.3567430441898527,0.3896153846153846,0.31332856962717004
ENSG00000089692,0.11414893617021282,0.24027823240589197,0.3439689034369886,0.15143541675423478
ENSG00000091129,0.446039279869067,0.5811211129296235,0.7947135842880524,0.5279391366483124
ENSG00000091513,0.7196399345335516,0.9088461538461539,0.9799672667757774,0.8856710520785172
ENSG00000091583,0.8074631751227496,0.1789852700490998,0.3035106382978724,0.7184901853642134
ENSG00000092445,0.17801145662847784,0.2890998363338788,0.19738134206219315,0.1532091967550755
ENSG00000092850,0.6059001636661211,0.37999181669394433,0.6288707037643209,0.4163843470219831
ENSG00000095464,0.2958592471358429,0.43846972176759413,0.6811292962356792,0.3957210709932327
ENSG00000095587,0.37887070376432075,0.316849427168576,0.3973813420621931,0.4012862006641167
ENSG00000095739,0.478240589198036,0.7906792144026187,0.480531914893617,0.36013618595267116
ENSG00000099869,0.24657119476268408,0.5390834697217676,0.7691734860883797,0.6505569332941028
ENSG00000099985,0.6539443535188216,0.8644926350245499,0.966063829787234,
ENSG00000100156,0.19961538461538453,0.4678887070376432,0.6883224222585924,0.5851540498507839
