,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
30,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:17659,P51654,,0.07352260713520299
29,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16556,"Q11206, Q11201",,0.07352260713520299
39,R-HSA-168256,Immune System,CHEBI:16027,"Q8WXK4, Q6ZMZ0, Q8WVD3, Q9Y508, Q9Y252, P05161, Q8N461, Q13042",,0.07393261368353625
44,R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,CHEBI:16027,O95396,,0.08081587094833177
20,R-HSA-211859,Biological oxidations,CHEBI:34310,Q9NYL5,,0.07770453814342371
22,R-HSA-211859,Biological oxidations,CHEBI:16335,P23526,,0.07770453814342371
2,R-HSA-212165,Epigenetic regulation of gene expression,CHEBI:16680,"O00422, Q9UBC3, Q9BTM1",,0.08305856622116323
24,R-HSA-212436,Generic Transcription Pathway,CHEBI:16680,Q9BTM1,,0.01896356503829364
46,R-HSA-418555,G alpha (s) signalling events,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:15555;CHEBI:16325;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"P50150, P63092, P09683, Q5JWF2",,0.015858783339643523
43,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",CHEBI:16556,"Q11201, Q969X2, Q9UNP4, P61647, Q11206",,0.06348623162248744
0,R-HSA-5668914,Diseases of metabolism,CHEBI:16680,P23526,,0.01896356503829364
1,R-HSA-5668914,Diseases of metabolism,CHEBI:16264,P51654,,0.01896356503829364
15,R-HSA-597592,Post-translational protein modification,CHEBI:4208,Q9BV94,,0.19275870071848789
17,R-HSA-597592,Post-translational protein modification,CHEBI:17659,"Q8TE58, Q86TH1, Q10472",,0.19275870071848789
16,R-HSA-597592,Post-translational protein modification,CHEBI:16680,Q8IXQ9,,0.19275870071848789
45,R-HSA-6782315,tRNA modification in the nucleus and cytosol,CHEBI:16027,"Q96S44, Q14657",,0.07352260713520299
4,R-HSA-71387,Metabolism of carbohydrates,CHEBI:17659,"P51654, O15488",,0.10223042470135212
3,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16556,"Q11206, Q11201, Q969X2",,0.10223042470135212
36,R-HSA-74160,Gene expression (Transcription),CHEBI:16680,"O00422, Q9UBC3, Q9BTM1, Q9Y2W6",,0.07352260713520299
35,R-HSA-74160,Gene expression (Transcription),CHEBI:16027,O00268,,0.07352260713520299
27,R-HSA-8953854,Metabolism of RNA,CHEBI:16027,"P11940, Q96S44, Q9NQT4, Q14657",,0.18160265513726453
28,R-HSA-8953854,Metabolism of RNA,CHEBI:17345,Q9NQT4,,0.18160265513726453
7,R-HSA-8978868,Fatty acid metabolism,CHEBI:28125,O14734,,0.07770453814342371
6,R-HSA-8978868,Fatty acid metabolism,CHEBI:16027,Q5FVE4,,0.07770453814342371
13,R-HSA-9694516,SARS-CoV-2 Infection,CHEBI:17659,Q10472,,0.11939954296216951
38,R-HSA-983169,Class I MHC mediated antigen processing & presentation,CHEBI:16027,"Q8WXK4, Q6ZMZ0, Q8WVD3, Q9Y508, Q9Y252, Q8N461, Q13042",,0.0
