,symbol,protein_coding,profile,p-value continuous,p-value sigmoid,q-value continuous,q-value sigmoid,gtex r/l,p-value mannwhitney,q-value mannwhitney
ENSG00000000003,TSPAN6,yes,unclassified,0.046158845854859964,0.10866502250539567,0.20209072529120434,0.31826367895812424,2.5349722279366387,1.60119246231338e-48,2.74722886256061e-47
ENSG00000000005,TNMD,yes,sigmoid,0.018079906925748457,0.0005389181238346641,0.10191527807462823,0.009204500838002125,2.7681187355435624,5.908689044019e-36,4.5796647911933404e-35
ENSG00000000419,DPM1,yes,sigmoid,0.014567271469130283,0.0001158461422748891,0.08662957453745522,0.005964780923009945,0.8269267364414843,1.8293238513756402e-23,8.45969443341026e-23
ENSG00000000457,SCYL3,yes,unclassified,0.22261505342805654,0.678600233978358,0.65470565449539,0.9487398656766938,0.9291842373127818,2.413247551748e-06,5.98704652201232e-06
ENSG00000000460,FIRRM,yes,sigmoid,0.002984579980030877,0.0001121523281083503,0.027564178199528718,0.005868334155175887,0.8450859409431467,3.8956791961603503e-10,1.13879192884983e-09
ENSG00000000938,FGR,yes,unclassified,0.5215627960577356,0.13981767898603603,0.8468773483153721,0.3818508243584065,0.8718023255813953,0.0623068985550302,0.104710334800274
ENSG00000000971,CFH,yes,unclassified,0.8002640793599843,0.8309243217742931,0.8468773483153721,0.857211408812415,1.0716356107660456,0.0179993759553723,0.033046025335434
ENSG00000001036,FUCA2,yes,unclassified,0.6988066774552066,0.21054943349449928,0.8468773483153721,0.508499126359561,1.3930379746835444,3.8241164853304494e-49,6.86789969564419e-48
ENSG00000001084,GCLC,yes,sigmoid,0.033981397919452205,0.0016730754709548545,0.1610244660011443,0.017065369803739516,0.7192402972749795,5.35695526281896e-22,2.35312249396911e-21
ENSG00000001167,NFYA,yes,unclassified,0.20477769950489577,0.4261639650213931,0.6793325247469947,0.7886161970702459,1.0817351598173517,3.34523121662259e-06,8.24387980807827e-06
ENSG00000001460,STPG1,yes,unclassified,0.11468329909297803,0.11811672474626378,0.46793721399291544,0.33811174707118774,1.0797642436149313,3.88434712163401e-06,9.53792634842757e-06
ENSG00000001461,NIPAL3,yes,sigmoid,0.10406984469425828,0.0032512098690871127,0.3611466670765397,0.02549856350898471,0.7626991565135895,1.50343846754967e-22,6.7333823775758e-22
ENSG00000001497,LAS1L,yes,continuous,8.763413203405346e-05,0.002595937302051987,0.0021219499634992207,0.0221548807234858,0.5265892420537898,6.58040346118694e-56,2.07147241048633e-54
ENSG00000001561,ENPP4,yes,unclassified,0.23209893072435905,0.26402247069312135,0.7111313614979731,0.5900848319444484,0.8836501901140685,2.1825861066703e-07,5.68811535168048e-07
ENSG00000001617,SEMA3F,yes,unclassified,0.08830559052216225,0.34535557862266963,0.31987702783887767,0.6976373157536907,0.9639564124057,0.231058289636094,0.332441130115986
ENSG00000001626,CFTR,yes,unclassified,0.022129663345600736,0.2892126479220889,0.20771208763989601,0.6252952822528018,243.5663057235269,3.44295056119394e-64,2.50210155822809e-62
