,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
0,R-HSA-388396,GPCR downstream signalling,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16755;CHEBI:16359;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.089106139446866
1,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16556,"['Q11201', 'Q11206']",,0.051594697480282045
2,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:17659,['P51654'],,0.051594697480282045
3,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16264,['P51654'],,0.051594697480282045
4,R-HSA-72766,Translation,CHEBI:16027,['Q9HA77'],,0.1695237509465182
5,R-HSA-212165,Epigenetic regulation of gene expression,CHEBI:16680,"['O00422', 'Q9UBC3', 'Q9BTM1']",,0.024454143727561384
6,R-HSA-597592,Post-translational protein modification,CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.14940351283689313
7,R-HSA-597592,Post-translational protein modification,CHEBI:4208,['Q9BV94'],,0.14940351283689313
8,R-HSA-597592,Post-translational protein modification,CHEBI:16680,['Q8IXQ9'],,0.14940351283689313
9,R-HSA-597592,Post-translational protein modification,CHEBI:17659,"['Q86TH1', 'Q8TE58', 'Q10472']",,0.14940351283689313
10,R-HSA-212436,Generic Transcription Pathway,CHEBI:16680,['Q9BTM1'],,0.024454143727561384
11,R-HSA-1280218,Adaptive Immune System,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.024454143727561384
12,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:17659,['P51654'],,0.08299277974323949
13,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:16264,['P51654'],,0.08299277974323949
14,R-HSA-74160,Gene expression (Transcription),CHEBI:16027,['O00268'],,0.03157728800108894
15,R-HSA-74160,Gene expression (Transcription),CHEBI:16680,"['O00422', 'Q9Y2W6', 'Q9UBC3', 'Q9BTM1']",,0.03157728800108894
16,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16556,"['Q11201', 'Q969X2', 'Q11206']",,0.089106139446866
17,R-HSA-71387,Metabolism of carbohydrates,CHEBI:17659,"['O15488', 'P51654']",,0.089106139446866
18,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16264,['P51654'],,0.089106139446866
19,R-HSA-5173105,O-linked glycosylation,CHEBI:16556,"['Q11201', 'Q11206']",,0.14694705792629992
20,R-HSA-5173105,O-linked glycosylation,CHEBI:17659,"['Q86TH1', 'Q8TE58', 'Q10472']",,0.14694705792629992
21,R-HSA-5668914,Diseases of metabolism,CHEBI:16680,['P23526'],,0.03157728800108894
22,R-HSA-5668914,Diseases of metabolism,CHEBI:16264,['P51654'],,0.03157728800108894
23,R-HSA-418555,G alpha (s) signalling events,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:15555;CHEBI:16325;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.0281865816654255
24,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.024454143727561384
25,R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.14694705792629992
26,R-HSA-2262752,Cellular responses to stress,CHEBI:16680,['Q9BTM1'],,0.1815452126057514
27,R-HSA-372790,Signaling by GPCR,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18397;CHEBI:18243;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.10970218544290587
28,R-HSA-168256,Immune System,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'P05161', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.14940351283689313
29,R-HSA-446203,Asparagine N-linked glycosylation,CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.09131476922568915
30,R-HSA-446203,Asparagine N-linked glycosylation,CHEBI:4208,['Q9BV94'],,0.09131476922568915
31,R-HSA-983169,Class I MHC mediated antigen processing & presentation,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.0
32,R-HSA-1640170,Cell Cycle,CHEBI:16680,['Q9BTM1'],,0.1815452126057514
